score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.310;0;2.43;37470;16990;"Pulsar Bateria 510 Cartridge Pantalla Digital - Negro";11022;2;6990;"Brass Knuckles Batería 900mAh con Pantalla";"bateria 510 pantalla negro";"https://fumetas.cl/pulsar-bateria-pantalla-digital?variant=Negro"
0.309;0;2.01;34234;990;"Blunt Kush Hemp Wrap x2 - Sweet";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"blunt hemp wrap";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Sweet"
0.309;0;1.12;36223;1000;"Blunt Soulblime Hemp Wrap x2 - Cítrico";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=C%C3%ADtrico"
0.309;0;2.40;33652;4990;"Moledor Contenedor OCB Plástico 2 en 1 - Celeste";5794;2;11990;"MOLEDOR PLASTICO REFORZADO XL-STORZ & BICKEL";"moledor plastico";"https://fumetas.cl/moledorcontenedor-ocb-plastico-2-en-1?variant=Celeste"
0.309;0;1.11;34238;990;"Blunt Kush Hemp Wrap x2 - Zero";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Zero"
0.308;0;1.99;36224;1000;"Blunt Soulblime Hemp Wrap x2 - Durazno";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"blunt hemp wrap";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Durazno"
0.308;0;1.12;36221;1000;"Blunt Soulblime Hemp Wrap x2 - Chicle";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Chicle"
0.307;0;1.11;34234;990;"Blunt Kush Hemp Wrap x2 - Sweet";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Sweet"
0.307;0;2.01;34233;990;"Blunt Kush Hemp Wrap x2 - Berries";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"blunt hemp wrap";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Berries"
0.307;0;2.01;34235;990;"Blunt Kush Hemp Wrap x2 - Lemonade";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"blunt hemp wrap";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Lemonade"
0.307;0;18.66;19925;27990;"Gizeh Premium Rolling Kit King Size";10685;2;1500;"Papelillos Vibes Rice King Size Slim";"king size";"https://fumetas.cl/gizeh-premium-rolling-kit-king-size"
0.306;0;1.12;36224;1000;"Blunt Soulblime Hemp Wrap x2 - Durazno";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Durazno"
0.305;0;1.11;34233;990;"Blunt Kush Hemp Wrap x2 - Berries";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Berries"
0.305;0;1.11;34235;990;"Blunt Kush Hemp Wrap x2 - Lemonade";10402;2;890;"Blunt Wrap Double Platinum Blueberry x2";"blunt wrap x2";"https://fumetas.cl/blunt-kush-hemp-wrap?variant=Lemonade"
0.304;0;2.57;35776;17990;"Pulsar Bateria Cartridges 510 Payout 3.0 - Rojo";11022;2;6990;"Brass Knuckles Batería 900mAh con Pantalla";"bateria cartridges 510 rojo";"https://fumetas.cl/pulsar-bateria-510-payout-30?variant=Rojo"
0.304;0;1.72;37656;11990;"Pulsar Batería Cartridges 510 Payout - Rojo";11022;2;6990;"Brass Knuckles Batería 900mAh con Pantalla";"bateria cartridges 510 rojo";"https://fumetas.cl/pulsar-bateria-cartridges-510-payout?variant=Rojo"
0.303;0;3.82;192;2290;"G-Rollz Papelillos Lightly Dyed Pink 1 1/4 + Tips";10993;2;600;"Lady Hornet Pink 1 1/4 + Tips";"papelillos pink tips";"https://fumetas.cl/g-rollz-papelillos-lightly-dyed-pink-1-14-tips"
