sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.50,Pipas,,,88484,"Friendly Grow",5990,"Pipa SIlicona NBA","https://cdnx.jumpseller.com/friendly-grow/image/74517258/SP-238.png?1773253542",69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",1.50
0.50,Contenedores y estuches,,,69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",87641,"Friendly Grow",9990,"Contenedor de silicona 110ml","https://cdnx.jumpseller.com/friendly-grow/image/74435864/_E5_B0_BA_E5_AF_B8_E5_9B_BE.jpg?1773147415",2.50
0.50,Contenedores y estuches,,,69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",88223,"Friendly Grow",10990,"Bong de Silicona Ghostface","https://cdnx.jumpseller.com/friendly-grow/image/74506774/SB-248.png?1773241218",2.75
0.50,Contenedores y estuches,,,69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",88277,"Friendly Grow",4990,"Pipa de Silicona Minimal","https://cdnx.jumpseller.com/friendly-grow/image/74516737/SP-126.png?1773252926",1.25
0.50,Contenedores y estuches,,,69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",88496,"Friendly Grow",4990,"Pipa SIlicona Saw","https://cdnx.jumpseller.com/friendly-grow/image/74518124/SP-349.png?1773254668",1.25
0.50,Contenedores y estuches,,,13572,"Fumetas",1190,"Contenedor de silicona 5ml","https://cdnx.jumpseller.com/fumetas-store/image/11064444/5ml-de-concentrado-de-contenedor-de-aceite-jarro-para-dab-cera-con-tapa-y-no-Palo.jpg?1651258903",87610,"Friendly Grow",1990,"Contenedor de Silicona Antiadherente Cerdito 5ml","https://cdnx.jumpseller.com/friendly-grow/image/74447042/6O2A2274.jpg?1773155285",1.67
0.50,Contenedores y estuches,,,13572,"Fumetas",1190,"Contenedor de silicona 5ml","https://cdnx.jumpseller.com/fumetas-store/image/11064444/5ml-de-concentrado-de-contenedor-de-aceite-jarro-para-dab-cera-con-tapa-y-no-Palo.jpg?1651258903",87611,"Friendly Grow",1990,"Contenedor de Silicona Antiadherente Mushroom 5ml","https://cdnx.jumpseller.com/friendly-grow/image/74447143/6O2A5585.jpg?1773155411",1.67
0.50,Contenedores y estuches,,,13572,"Fumetas",1190,"Contenedor de silicona 5ml","https://cdnx.jumpseller.com/fumetas-store/image/11064444/5ml-de-concentrado-de-contenedor-de-aceite-jarro-para-dab-cera-con-tapa-y-no-Palo.jpg?1651258903",88528,"Friendly Grow",2890,"Contenedor Pyrex con tapa de Silicona 5ml","https://cdnx.jumpseller.com/friendly-grow/image/74781648/1.jpg?1773756314",2.43
0.50,Accesorios de extraccion,,,72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",87509,"Friendly Grow",9900,"Nectar Collector de Silicona Rocket","https://cdnx.jumpseller.com/friendly-grow/image/74447184/6O2A2214.jpg?1773155486",2.02
0.50,Pipas,,,33156,"Astro Growshop",1990,"Pipa Silicona Guitarra - azul","https://cdnx.jumpseller.com/astrogrowshop/image/72176848/nueva-pipa-de-silicona28.webp?1769088484",88458,"Friendly Grow",3990,"Pipa Silicona Clásica - Azul","https://cdnx.jumpseller.com/friendly-grow/image/75204639/1.png?1774556793",2.01
0.44,Accesorios de extraccion,,,87546,"Friendly Grow",7900,"Adaptador de Pyrex en U para Dos Bangers – Doble Quemador 14mm/18mm - 18mm","https://cdnx.jumpseller.com/friendly-grow/image/74781845/00.jpg?1773756746",15589,"Piranha",6990,"Adaptador 14mm para Bong (Doble Quemador 14mm) | PIRANHA","https://piranha.cl/22726-thickbox_default/adaptador-14mm-para-bong-doble-quemador-14mm.jpg",1.13
0.44,Repuestos para bongs y vaporizadores,,,15589,"Piranha",6990,"Adaptador 14mm para Bong (Doble Quemador 14mm) | PIRANHA","https://piranha.cl/22726-thickbox_default/adaptador-14mm-para-bong-doble-quemador-14mm.jpg",87545,"Friendly Grow",7900,"Adaptador de Pyrex en U para Dos Bangers – Doble Quemador 14mm/18mm - 14mm","https://cdnx.jumpseller.com/friendly-grow/image/74781845/00.jpg?1773756746",1.13
0.44,Otros parafernalia,pulsar,,35923,"Fumetas",13990,"Pulsar Bateria Cartridges 510 Square - Morado","https://cdnx.jumpseller.com/fumetas-store/image/61477378/Vaporizador-Bateria-510-Cartridge-Square-Morado.jpg?1743438421",88358,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Morado","https://cdnx.jumpseller.com/friendly-grow/image/69166461/et500_20purple-Photoroom.jpg?1768283597",1.07
0.44,Otros parafernalia,,pulsar,88362,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Verde","https://cdnx.jumpseller.com/friendly-grow/image/69166462/et500_20green-Photoroom.jpg?1768283597",37452,"Fumetas",31990,"Pulsar Batería Cartridges 510 DL 5.0 - Verde","https://cdnx.jumpseller.com/fumetas-store/image/61469763/Pulsar-510-DL-50-Cartridges-Verde.webp?1779311938",2.13
0.44,Otros parafernalia,pulsar,,35775,"Fumetas",17990,"Pulsar Bateria Cartridges 510 Payout 3.0 - Azul","https://cdnx.jumpseller.com/fumetas-store/image/61488698/Pulsar-Bateria-510-Payout-30-Azul.jpg?1742322381",88357,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Azul","https://cdnx.jumpseller.com/friendly-grow/image/69166467/et500_20blue-Photoroom.jpg?1768283597",1.20
0.44,Otros parafernalia,pulsar,,37451,"Fumetas",31990,"Pulsar Batería Cartridges 510 DL 5.0 - Morado","https://cdnx.jumpseller.com/fumetas-store/image/61469758/Pulsar-510-DL-50-Cartridges-Morado.webp?1779311938",88358,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Morado","https://cdnx.jumpseller.com/friendly-grow/image/69166461/et500_20purple-Photoroom.jpg?1768283597",2.13
0.44,Otros parafernalia,,pulsar,88357,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Azul","https://cdnx.jumpseller.com/friendly-grow/image/69166467/et500_20blue-Photoroom.jpg?1768283597",37641,"Fumetas",19990,"Pulsar Batería Cartridges 510 DL - Azul","https://cdnx.jumpseller.com/fumetas-store/image/58177278/Pulsar-Bateria-para-cartridge-510-DL-Azul.jpg?1741990920",1.33
0.44,Otros parafernalia,pulsar,,37653,"Fumetas",11990,"Pulsar Batería Cartridges 510 Payout - Negro","https://cdnx.jumpseller.com/fumetas-store/image/61494754/Pulsar-Payout-VV-510-Battery-Negro.jpg?1742329167",88360,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro","https://cdnx.jumpseller.com/friendly-grow/image/69166465/et500_20black-Photoroom.jpg?1768283597",1.25
0.44,Otros parafernalia,pulsar,,37640,"Fumetas",19990,"Pulsar Batería Cartridges 510 DL - Negro","https://cdnx.jumpseller.com/fumetas-store/image/58177271/Pulsar-Bateria-para-cartridge-510-DL-Negro.jpg?1741990920",88360,"Friendly Grow",14990,"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro","https://cdnx.jumpseller.com/friendly-grow/image/69166465/et500_20black-Photoroom.jpg?1768283597",1.33
