productId,name,category,brandKey,existingStores,missingStore,candidateCount,bestScore,bestTitle,bestUrl,bestPrice,existingOffers,productUrl
5725,"Encendedor Clipper Racoons",Encendedores y sopletes,clipper,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.63,"Encendedor Jet Flame Jet Horror Zoo Clipper","https://astrogrowshop.cl/encendedor-jet-flame-jet-horror-zoo-clipper",1590,[Fumetas] $990 Encendedor Clipper Crystal 12 || [Fumetas] $990 Encendedor Clipper Winter Plans 2 || [Fumetas] $990 Encendedor Clipper Racoons || [Fumetas] $990 Encendedor Clipper Space Area 4 || [Fumetas] $990 Encendedor Clipper Zombie Force || [Fumetas] $990 Encendedor Clipper Space Area 3 || [Fumetas] $990 Encendedor Clipper Space Area 1 || [Fumetas] $990 Encendedor Clipper Space Area 2 || [Fumetas] $990 Encendedor Clipper Dino Sports || [Fumetas] $990 Encendedor Clipper Winter Plans 1 || [Fumetas] $990 Encendedor Clipper Horror Days 1 || [Fumetas] $990 Encendedor Clipper Taroting 2 || [Fumetas] $990 Encendedor Clipper Monsters 1 || [Fumetas] $990 Encendedor Clipper Cocodrilos - Finger U || [Fumetas] $990 Encendedor Clipper Sun is Shinning 2 || [Fumetas] $990 Encendedor Clipper Wall Of Fame 2 || [GrowBarato Chile] $1000 Encendedor Clipper GB The Green Brand -  || [GrowBarato Chile] $1000 Encendedor Clipper varios modelos dispon || [Piranha] $1190 Encendedor Clipper x Piranha,"/productos/clipper/lighter-classic"
5724,"Encendedor Jet Flame Jet Hippie World Clipper",Encendedores y sopletes,clipper,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,7,0.52,"Encendedor Clipper x Piranha","https://piranha.cl/inicio/3912/encendedor-clipper-x-piranha-diseno-a-eleccion.html",1190,[Astro Growshop] $990 Encendedor Jet Flame Jet Good Vibes Only || [Astro Growshop] $990 Encendedor Jet Flame Jet Hippie World Cl || [Astro Growshop] $1200 Encendedor Jet Flame Con Tapa Modelos va || [GrowBarato Chile] $1300 Encendedor Clipper Jet Flame Crystal Flu || [Fumetas] $1590 Encendedor Clipper Jet Flame Ink 4 Life || [Fumetas] $1590 Encendedor Clipper Jet Flame Gradient 3 || [Fumetas] $1590 Encendedor Clipper Jet Flame Psychodelic || [Fumetas] $1590 Encendedor Clipper Jet Flame Good Vibes  || [Fumetas] $1590 Encendedor Clipper Jet Flame Galactic We || [Fumetas] $1590 Encendedor Clipper Jet Flame Head Bones || [Fumetas] $1590 Encendedor Clipper Jet Flame Print Weed || [Fumetas] $1590 Encendedor Clipper Jet Flame Rainbow Mus || [Fumetas] $1590 Encendedor Clipper Jet Flame Rotten Burg || [Fumetas] $1590 Encendedor Clipper Jet Flame Shiny Assor || [Fumetas] $1590 Encendedor Clipper Jet Flame Skull Drink || [Fumetas] $1590 Encendedor Clipper Jet Flame Topo Expres || [Fumetas] $1590 Encendedor Clipper Jet Flame CozySkulls || [Fumetas] $1590 Encendedor Clipper Jet Flame HippieWorld || [Fumetas] $1590 Encendedor Clipper Jet Flame Mandaleaves || [Fumetas] $1590 Encendedor Clipper Jet Flame Ravetrip || [Astro Growshop] $1590 Encendedor Jet Flame Jet Galactic Weed C || [Astro Growshop] $1590 Encendedor Jet Flame Jet Horror Zoo Clip || [Fumetas] $1592 Encendedor Clipper Jet Flame Horror Zoo,"/productos/clipper/torch-lighter-jet-flame"
5715,"Filtros Tips Gummed-Raw",Filtros y boquillas,raw,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,2,0,"Filtro Tips RAW Original | PIRANHA","https://piranha.cl/inicio/7275/filtros-tips-raw-original.html",390,[Astro Growshop] $490 Filtros Tips Gummed-Raw || [GrowBarato Chile] $600 RAW Perforate Gummed Tips de la marca RA || [Fumetas] $690 Boquillas RAW Gummed Tips - Con pegament,"/productos/raw/gummed-tip-gummed"
5716,"Tips Original De Carton 1 Ud-Raw",Filtros y boquillas,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,3,0.46,"RAW Pre-Rolled Tips Cajetilla De Metal","https://www.growbaratochile.cl/articulos-para-el-fumador/raw-pre-rolled-tips-cajetilla-de-metal.html",6300,[Astro Growshop] $340 Tips Original De Carton 1 Ud-Raw || [Piranha] $390 Filtro Tips RAW Original | PIRANHA || [Fumetas] $400 Boquillas RAW Classic,"/productos/raw/paper-tip-classic"
5717,"Tips Perforated Wide-Raw",Filtros y boquillas,raw,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,2,0.52,"Filtro Tips RAW Original | PIRANHA","https://piranha.cl/inicio/7275/filtros-tips-raw-original.html",390,[Astro Growshop] $390 Tips Perforated Wide-Raw || [GrowBarato Chile] $500 RAW Perforated Wide Tips de origen orgán || [Fumetas] $590 Boquillas RAW Wide Pre-picadas,"/productos/raw/paper-tip-wide-wide"
5721,"Cajita Metálica RAW con 100u Filtros Pre-Enrolados 6mm | PIRANHA",Filtros y boquillas,raw,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,3,0.46,"Tips Original De Carton 1 Ud-Raw","https://astrogrowshop.cl/tips-original-de-carton-1-ud-raw",340,[Piranha] $5990 Cajita Metálica RAW con 100u Filtros Pre || [GrowBarato Chile] $6300 RAW Pre-Rolled Tips Cajetilla De Metal || [Fumetas] $6990 Cajetilla Metalica RAW con 100 Boquillas,"/productos/raw/pre-rolled-tip-metal-case-6mm-100u"
5506,"Grinder Galaxy Lightning",Moledores,galaxy,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,10,0.86,"Grinder Galaxy Aluminio 63mm","https://piranha.cl/inicio/6109/moledor-galaxy-aluminio-6cm-4-partes-color-a-eleccion.html",17991,[GrowBarato Chile] $19100 Grinder Galaxy Lightning || [Fumetas] $21591 Moledor Galaxy Lightning Aluminio 63mm || [Astro Growshop] $23990 Lightning Grinder 63Mm-Galaxy,"/productos/galaxy/lightning"
5499,"Moledor 63MM -Galaxy",Moledores,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.86,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium en Chile","https://www.growbaratochile.cl/parafernalia/moledor-new-pro-model-galaxy-63mm.html",28000,[Piranha] $17991 Grinder Galaxy Aluminio 63mm || [Fumetas] $18891 Moledor Galaxy Aluminio 63mm || [Astro Growshop] $21990 Moledor 63MM -Galaxy || [Astro Growshop] $21990 Moledor 63Mm Rose Gold-Galaxy,"/productos/galaxy/metal-63mm"
5503,"Moledor Quartz Grinder- Galaxy",Moledores,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.66,"Moledor Galaxy 73 mm - Grinder de Aluminio con Tamiz y Compartidor","https://www.growbaratochile.cl/parafernalia/moledor-galaxy-aluminio-73mm.html",27100,[Piranha] $33293 Moledor Galaxy Quartz Aluminio Aeroespac || [Fumetas] $38392 Moledor Galaxy Quartz 63 mm || [Astro Growshop] $47990 Moledor Quartz Grinder- Galaxy,"/productos/galaxy/quartz"
5357,"Moledor Ceramico Square - Galaxy",Moledores,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.6,"Moledor Galaxy de 4 partes y con tamizador","https://www.growbaratochile.cl/moledores/moledor-galaxy-mars.html",23800,[Piranha] $19992 Moledor Cerámico Galaxy Square 5cm 2 Par || [Fumetas] $25790 Moledor Galaxy Square Cerámico || [Astro Growshop] $25990 Moledor Ceramico Square - Galaxy || [Piranha] $29512 Ceramics Grinder,"/productos/galaxy/square-ceramic"
5500,"Moledor SLX 50mm",Moledores,slx,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,2,0.66,"Moledor SLX 60mm┃Moledor de cerámica antiadherente","https://www.growbaratochile.cl/moledores/moledor-slx.html",51000,[Piranha] $39992 Moledor Cerámico v 2.5 5cm SLX | PIRANHA || [Fumetas] $43491 Moledor SLX 50mm || [Astro Growshop] $49990 Moledor 5Cm -Slx,"/productos/slx/50mm"
5793,"Moledor SLX 60mm",Moledores,slx,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0.66,"Moledor Cerámico v 2.5 5cm SLX | PIRANHA","https://piranha.cl/inicio/6881/moledor-ceramico-slx-v25-5cm-4-partes-color-a-eleccion.html",39992,[GrowBarato Chile] $51000 Moledor SLX 60mm┃Moledor de cerámica ant || [Fumetas] $52191 Moledor SLX 60mm || [Astro Growshop] $55990 Moledor 6CM -Slx,"/productos/slx/60mm"
5815,"Moledor SLX 90mm",Moledores,slx,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0.6,"Moledor Cerámico v 2.5 5cm SLX | PIRANHA","https://piranha.cl/inicio/6881/moledor-ceramico-slx-v25-5cm-4-partes-color-a-eleccion.html",39992,[Fumetas] $108741 Moledor SLX 90mm || [GrowBarato Chile] $117300 Moledor SLX 90 mm cerámico antiadherente || [Astro Growshop] $119990 Moledor 9CM-Slx,"/productos/slx/90mm"
5809,"Moledor Metálico Bulldog 4cm 2 Partes",Moledores,the-bulldog,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,2,0.63,"Moledor Plastico 3 Partes - Bulldog","https://astrogrowshop.cl/moledor-plastico-3-partes-bulldog",2490,[Fumetas] $6791 Moledor Bulldog 40mm 1 piso || [Piranha] $6966 Moledor Metálico Bulldog 4cm 2 Partes || [GrowBarato Chile] $10100 Moledor Bulldog Ámsterdam Metálico Silve,"/productos/the-bulldog/40mm"
5459,"Papelillo Pink 1 1/4 1Und-Blazy Susan",Papelillos,blazy-susan,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0,"Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos","https://www.growbaratochile.cl/papelillos/blazy-susan-papelillos-king-size-slim-purple.html",400,[Astro Growshop] $490 Papelillo Pink 1 1/4 1Und-Blazy Susan || [Fumetas] $711 Blazy Susan Papelillos Pink 1 1/4 || [Piranha] $790 Papelillo 1 1/4 Blazy Susan Pink | PIRAN,"/productos/blazy-susan/pink"
5460,"Blazy Susan Papelillos Purple 1 1/4",Papelillos,blazy-susan,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.63,"Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables","https://www.growbaratochile.cl/papelillos/blazy-susan-rollo-8-metros-purple.html",1800,[Fumetas] $711 Blazy Susan Papelillos Purple 1 1/4 || [Astro Growshop] $790 Papelillo Purple 1 1/4 1Und-Blazy Susan || [Piranha] $790 Papelillo 1 1/4 Blazy Susan Purple | PIR,"/productos/blazy-susan/purple"
5420,"Papelillo Pink King Size Slim- Blazy Susan",Papelillos,blazy-susan,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0,"Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos","https://www.growbaratochile.cl/papelillos/blazy-susan-papelillos-king-size-slim-purple.html",400,[Astro Growshop] $490 Papelillo Pink King Size Slim- Blazy Sus || [Fumetas] $890 Blazy Susan Papelillos King Size Pink || [Piranha] $990 Papelillo King Size Slim Blazy Susan Pin,"/productos/blazy-susan/pink-king-size-slim"
5817,"Papelillos OCB Ultimate 1 1/4",Papelillos,ocb,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,8,0.72,"OCB X-Pert 1 1/4 papel de fumar ultrafino","https://www.growbaratochile.cl/papelillos/ocb-x-pert-114.html",900,[Fumetas] $750 Papelillos OCB Ultimate 1 1/4 || [Astro Growshop] $990 Papelillo Ultimate 1 1/4 1U -Ocb || [Piranha] $1190 Papelillo OCB Ultimate 1 ¼,"/productos/ocb/ultimate"
5424,"Papelillo Slim Ultimate King Size- Ocb",Papelillos,ocb,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,17,0.63,"Papelillo OCB Ultimate Rolls Slim | PIRANHA","https://piranha.cl/inicio/8380/ocb-ultimate-rolls-slim.html",2590,[Astro Growshop] $1090 Papelillo Slim Ultimate King Size- Ocb || [GrowBarato Chile] $1500 OCB Slim Ultimate de origen orgánico || [Fumetas] $1690 OCB Papelillos Ultimate Slim King Size,"/productos/ocb/ultimate-king-size-slim"
5425,"OCB Papelillos X-pert Slim King Size",Papelillos,ocb,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.92,"Papelillo Slim Ultimate King Size- Ocb","https://astrogrowshop.cl/papelillo-slim-ultimate-king-size-ocb",1090,[GrowBarato Chile] $1200 OCB Premium Slim King Size 32 hojas || [Fumetas] $1690 OCB Papelillos X-pert Slim King Size || [Piranha] $1990 Papelillo OCB Xpert King Size Slim| PIRA,"/productos/ocb/x-pert-king-size-slim"
