sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.43,Otros parafernalia,ozeta,ozeta,12681,Astro Growshop,73990,Duffle Bag Black-Ozeta,https://cdnx.jumpseller.com/astrogrowshop/image/70898075/imagen_5_18946.webp?1766433388,19515,Fumetas,86990,Ozeta Duffle Bag con clave Anti - Olor,https://cdnx.jumpseller.com/fumetas-store/image/43569178/dufflebag-ozeta-1.webp?1731902358,1.18
0.43,Otros parafernalia,ozeta,ozeta,16000,Piranha,86990,Duffle Bag - OZeta | PIRANHA,https://piranha.cl/16321-thickbox_default/duffle-bag-anti-olor-ozeta.jpg,19515,Fumetas,86990,Ozeta Duffle Bag con clave Anti - Olor,https://cdnx.jumpseller.com/fumetas-store/image/43569178/dufflebag-ozeta-1.webp?1731902358,1.00
0.43,Vaporizadores herbales,weecke,weecke,17765,Astro Growshop,7490,Accesorio Chamber Filter Fenix Pro -Weecke,https://cdnx.jumpseller.com/astrogrowshop/image/71351774/imagen_1_29283_11zon.webp?1767379135,20123,Fumetas,7990,Weecke Hélice de Conveccion Fenix Pro,https://cdnx.jumpseller.com/fumetas-store/image/73589909/Respuesto-Hornillo-Fenix-Pro.jpg?1771623316,1.07
0.43,Moledores,galaxy,galaxy,31211,Astro Growshop,28990,Moledor 73MM -Galaxy - Oro rosa,https://cdnx.jumpseller.com/astrogrowshop/image/74868475/imagen_1_1.webp?1773937429,33677,Fumetas,31990,Moledor Galaxy Aluminio 73 mm - Oro rosa,https://cdnx.jumpseller.com/fumetas-store/image/68901200/Galaxy-Moledor-73-Oro-Rosa.jpg?1761060544,1.10
0.43,Bongs,bonglab,bonglab,31360,Astro Growshop,66990,Big Blow-Bonglab - Negro,https://cdnx.jumpseller.com/astrogrowshop/image/74868605/imagen_1_25906.webp?1773937468,33854,Fumetas,59990,Bonglab Bong The Trash Big Logo 45cm - Negro,https://cdnx.jumpseller.com/fumetas-store/image/35140537/BongLab-The-Thrash-Big-Logo-Black.webp?1739305970,1.12
0.43,Bongs,bonglab,bonglab,31626,Astro Growshop,22990,Color Cube-Bonglab - AMBAR,https://cdnx.jumpseller.com/astrogrowshop/image/70330438/imagen_1_26098.webp?1764695360,34677,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Verde,https://cdnx.jumpseller.com/fumetas-store/image/39079356/BongLab-X2-Green.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31626,Astro Growshop,22990,Color Cube-Bonglab - AMBAR,https://cdnx.jumpseller.com/astrogrowshop/image/70330438/imagen_1_26098.webp?1764695360,34678,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Rosado,https://cdnx.jumpseller.com/fumetas-store/image/39079357/BongLab-X2-Pink.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31626,Astro Growshop,22990,Color Cube-Bonglab - AMBAR,https://cdnx.jumpseller.com/astrogrowshop/image/70330438/imagen_1_26098.webp?1764695360,34680,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Azul,https://cdnx.jumpseller.com/fumetas-store/image/39079355/BongLab-X2-Blue.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31627,Astro Growshop,22990,Color Cube-Bonglab - azul,https://cdnx.jumpseller.com/astrogrowshop/image/74869159/imagen_1_26097.webp?1773937759,34679,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Ámbar,https://cdnx.jumpseller.com/fumetas-store/image/39079354/BongLab-X2-Amber.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31628,Astro Growshop,22990,Color Cube-Bonglab - verde,https://cdnx.jumpseller.com/astrogrowshop/image/74869160/imagen_1_26096.webp?1773937759,34679,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Ámbar,https://cdnx.jumpseller.com/fumetas-store/image/39079354/BongLab-X2-Amber.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31629,Astro Growshop,22990,Color Cube-Bonglab - Rosa,https://cdnx.jumpseller.com/astrogrowshop/image/74869161/imagen_1_26095.webp?1773937759,34679,Fumetas,25990,Bonglab Bong X2 Color Cube 23cm - Ámbar,https://cdnx.jumpseller.com/fumetas-store/image/39079354/BongLab-X2-Amber.jpg?1781034117,1.13
0.43,Bongs,bonglab,bonglab,31685,Astro Growshop,51990,Mad Professor - Bonglab - AMBAR,https://cdnx.jumpseller.com/astrogrowshop/image/74869443/imagen_1_26139.webp?1773937944,33848,Fumetas,64990,Bonglab Bong Mad Professor 42cm - Jade Green,https://cdnx.jumpseller.com/fumetas-store/image/58283343/Mad-Professor-Jade-Green.jpg?1734057223,1.25
0.43,Bongs,bonglab,bonglab,31731,Astro Growshop,55990,The Sheikh 42Cm -Bonglab - Verde azulado,https://cdnx.jumpseller.com/astrogrowshop/image/74869290/imagen_1_27936.webp?1781787537,33847,Fumetas,64990,Bonglab Bong Mad Professor 42cm - Verde,https://cdnx.jumpseller.com/fumetas-store/image/58283344/Mad-Professor-Mink-Green.jpg?1734057216,1.16
0.43,Bongs,bonglab,bonglab,31746,Astro Growshop,74990,Water Splash -Bonglab - JADEGREEN,https://cdnx.jumpseller.com/astrogrowshop/image/74869092/imagen_1_11521.webp?1773937688,34662,Fumetas,69990,BongLab Bong K598 Splash Water 50cm - Turquesa,https://cdnx.jumpseller.com/fumetas-store/image/34533159/Bong-BongLab-K598-Splash-Water-Teal.webp?1682534580,1.07
0.43,Bongs,bonglab,bonglab,31766,Astro Growshop,47990,Mercurial KH1-Bonglab - SMOKEY GREY,https://cdnx.jumpseller.com/astrogrowshop/image/74869152/imagen_1_9924.webp?1773937740,34952,Fumetas,47990,BongLab Bong KH1 Mercurial 24cm - Tornasol,https://cdnx.jumpseller.com/fumetas-store/image/34397552/Bong-Mercurial-KH1-Tornasol.webp?1682272573,1.00
0.43,Conos y blunts,blazy-susan,blazy-susan,32182,Astro Growshop,26990,CONOS PRE ROLL KING SIZE JAR 50U-BLAZY SUSAN - Rosa,https://cdnx.jumpseller.com/astrogrowshop/image/75872279/AYPBSCOPIKS50U.webp?1776443058,33920,Fumetas,29990,Blazy Susan Conos Pre-enrolados King Size 50 uds. - Lila,https://cdnx.jumpseller.com/fumetas-store/image/49705375/50-Conos-Pre-enrolados-King-Size-Purple-Blazy-Susan.jpg?1725401467,1.11
