score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.338;1;2.49;71232;800;"Tips pequeños de Lion Rolling Circus";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus";"https://www.growbaratochile.cl/articulos-para-el-fumador/tips-pequenos.html"
0.337;1;1.14;102893;396000;"Volcano Classic y Digital Vaporizador";10302;4;348292;"Storz & Bickel Vaporizador Volcano Classic Gold 24K";"volcano classic vaporizador";"https://www.growbaratochile.cl/vaporizadores-storz-bickel/volcano-classic.html"
0.336;1;1.88;11567;1300;"RAW Pre Rolled Tips de RAW filtros de calidad";10479;3;690;"Boquillas RAW Cono Perfecto";"raw tips filtros";"https://www.growbaratochile.cl/articulos-para-el-fumador/raw-pre-rolled-tips.html"
0.332;1;0.00;71009;20900;"Zippo Leaf Engraved【barato】en GB The Green Brand✅";10308;2;0;"Encendedor Zippo Cannabis Design";"zippo leaf";"https://www.growbaratochile.cl/encendedores/zippo-leaf-engraved-.html"
0.321;1;2.77;71246;900;"Lion Rolling Circus Sylver papel fino de calidad";10234;2;2490;"Lion Rolling Circus Porta Papelillos 1 1/4";"lion rolling circus";"https://www.growbaratochile.cl/papelillos/lion-rolling-circus-sylver.html"
0.317;1;1.68;71232;800;"Tips pequeños de Lion Rolling Circus";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus";"https://www.growbaratochile.cl/articulos-para-el-fumador/tips-pequenos.html"
0.314;1;2.66;71294;5300;"Tainer Lion Rolling Circus | Contenedor con Moledor Hermético";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus";"https://www.growbaratochile.cl/parafernalia/tainer-lion-rolling-circus.html"
0.313;1;1.25;71234;12500;"Heavy Pill Cabo para hierba seca";10114;2;9990;"CABO Heavy Gear 20mm (Clear/Black) - CABO | PIRANHA";"heavy cabo";"https://www.growbaratochile.cl/cabo/heavy-pill-cabo.html"
0.313;1;1.31;71110;1900;"Lion Rolling Circus Grinder Acrilico 2 Partes - GB The Green Brand";10234;2;2490;"Lion Rolling Circus Porta Papelillos 1 1/4";"lion rolling circus";"https://www.growbaratochile.cl/moledores/lion-rolling-circus-grinder-acrilico.html"
0.311;1;0.00;70795;22500;"Bong Rig Wax Set | Dab Rig de Vidrio con Percolador Shower Calvo Glass";10484;2;0;"Calvo Glass Eye Sun Rig 25cm";"bong rig calvo glass";"https://www.growbaratochile.cl/parafernalia/wax-set-bubble-rig-banger-carb-cap-calvo-glass-.html"
0.307;1;1.52;102893;396000;"Volcano Classic y Digital Vaporizador";5745;2;599990;"Volcano Hybrid Onyx Edition-Storz & Bickel";"volcano vaporizador";"https://www.growbaratochile.cl/vaporizadores-storz-bickel/volcano-classic.html"
0.305;1;2.34;11606;850;"Lion Rolling Circus Unbleach - Papel sin blanquear";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus";"https://www.growbaratochile.cl/papelillos/rolling-circus-unbleach.html"
0.304;1;1.15;11567;1300;"RAW Pre Rolled Tips de RAW filtros de calidad";10244;3;1490;"Boquillas RAW Pre-enrolados 21 unidades";"raw pre tips";"https://www.growbaratochile.cl/articulos-para-el-fumador/raw-pre-rolled-tips.html"
0.295;1;3.95;71294;5300;"Tainer Lion Rolling Circus | Contenedor con Moledor Hermético";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus";"https://www.growbaratochile.cl/parafernalia/tainer-lion-rolling-circus.html"
0.295;1;1.32;11433;18900;"Insert Banger Fondo Opaco Calvo Glass";10106;2;24990;"Calvo Glass Banger Full Weld Regular Macho 10mm";"banger calvo glass";"https://www.growbaratochile.cl/pipas-bongs-y-cachimbas/insert-banger-fondo-opaco-calvo-glass.html"
0.292;1;1.71;70881;3400;"Conos RAW 5 Stages | Conos pre-armados papel natural – GrowBaratoChile";5711;2;1990;"Conos PreEnrolados RAW 1 1/4 (6u)";"conos raw pre";"https://www.growbaratochile.cl/papelillos/raw-cones-5-stage-rawket.html"
0.292;1;1.26;70892;41300;"El Bong Tubular Calvo 40cm- Calvo Glass";5536;2;52191;"Bong Beaker Tree Perc 35cm";"bong calvo glass";"https://www.growbaratochile.cl/calvoglass/bong-tubular-calvo-35cm.html"
0.290;1;3.53;1394;159000;"Kit de Inicio Vaporizador Dynavap M7 | Todo en 1 sin batería";11012;2;44990;"DynaVap Kit G3";"vaporizador dynavap";"https://www.growbaratochile.cl/vaporizadores/kit-de-inicio-vaporizador-dynavap-the-m7.html"
0.290;1;0.00;71106;14400;"Zippo Logo┃elegancia y calidad al mejor precio";10512;2;0;"Encendedor Zippo Classic Red Matte";"zippo logo";"https://www.growbaratochile.cl/encendedores/zippo-logo.html"
0.288;1;1.58;11606;850;"Lion Rolling Circus Unbleach - Papel sin blanquear";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus";"https://www.growbaratochile.cl/papelillos/rolling-circus-unbleach.html"
0.285;1;2.57;71106;14400;"Zippo Logo┃elegancia y calidad al mejor precio";10511;2;36990;"Encendedor Zippo Classic Flat Sand";"zippo logo";"https://www.growbaratochile.cl/encendedores/zippo-logo.html"
0.283;1;2.21;71246;900;"Lion Rolling Circus Sylver papel fino de calidad";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus";"https://www.growbaratochile.cl/papelillos/lion-rolling-circus-sylver.html"
0.280;1;2.43;71106;14400;"Zippo Logo┃elegancia y calidad al mejor precio";10276;2;34990;"Encendedor Zippo Royal Blue Matte";"zippo logo";"https://www.growbaratochile.cl/encendedores/zippo-logo.html"
0.280;1;0.00;1384;1000;"Encendedor Clipper GB The Green Brand - GB The Green Brand";10480;2;0;"Encendedor Clipper Metálico Deep Blue";"encendedor clipper";"https://www.growbaratochile.cl/encendedores/encendedor-clipper-gb-the-green-brand.html"
0.276;1;1.05;71110;1900;"Lion Rolling Circus Grinder Acrilico 2 Partes - GB The Green Brand";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus";"https://www.growbaratochile.cl/moledores/lion-rolling-circus-grinder-acrilico.html"
0.276;1;2.22;320;1800;"OCB Filtro Premium Slim Bolsa - GB The Green Brand";10418;2;3990;"OCB Activ'Tips Slim Carbón Activo 7mm 10u";"ocb filtro slim";"https://www.growbaratochile.cl/articulos-para-el-fumador/ocb-filtro-premium-slim-bolsa.html"
0.276;1;1.03;11433;18900;"Insert Banger Fondo Opaco Calvo Glass";10313;2;18261;"Calvo Glass Banger Full Weld Thin Slurper - Macho 14mm";"banger calvo glass";"https://www.growbaratochile.cl/pipas-bongs-y-cachimbas/insert-banger-fondo-opaco-calvo-glass.html"
0.276;1;0.00;70892;41300;"El Bong Tubular Calvo 40cm- Calvo Glass";10484;2;0;"Calvo Glass Eye Sun Rig 25cm";"bong calvo glass";"https://www.growbaratochile.cl/calvoglass/bong-tubular-calvo-35cm.html"
0.275;1;1.67;71015;450;"OCB Papel Blanco Mini - GB The Green Brand";10761;3;750;"Papelillos OCB Blanco 1 1/4";"ocb blanco";"https://www.growbaratochile.cl/papel-de-celulosa/ocb-papel-blanco-mini.html"
0.275;1;1.92;70855;19800;"Classic Ice de Bonglab - Gb The Green Brand";5772;3;37990;"Classic Ice Pro-Bonglab";"classic ice bonglab";"https://www.growbaratochile.cl/bonglab/classic-ice.html"
0.268;1;1.49;71246;900;"Lion Rolling Circus Sylver papel fino de calidad";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus";"https://www.growbaratochile.cl/papelillos/lion-rolling-circus-sylver.html"
0.262;1;1.42;71110;1900;"Lion Rolling Circus Grinder Acrilico 2 Partes - GB The Green Brand";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus";"https://www.growbaratochile.cl/moledores/lion-rolling-circus-grinder-acrilico.html"
0.261;1;6.99;1384;1000;"Encendedor Clipper GB The Green Brand - GB The Green Brand";10748;3;6990;"Encendedor Clipper Metálico Matt Black";"encendedor clipper";"https://www.growbaratochile.cl/encendedores/encendedor-clipper-gb-the-green-brand.html"
0.259;1;1.23;1394;159000;"Kit de Inicio Vaporizador Dynavap M7 | Todo en 1 sin batería";10327;2;194990;"Vaporizador DynaVap The VonG (Titanium) | PIRANHA";"vaporizador dynavap";"https://www.growbaratochile.cl/vaporizadores/kit-de-inicio-vaporizador-dynavap-the-m7.html"
