score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.203;1;1.75;23545;42990;"Godfella Con Lock 25 Cm Black-Dime Bags";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/godfella-con-lock-25-cm-black-dime-bags"
0.201;1;1.91;17736;33990;"Pack Bong Bonglab Classic Ice KS11";10394;2;64990;"BongLab Elty8 Monster Bong 48cm";"bong bonglab";"https://astrogrowshop.cl/pack-bong-bonglab-classic-ice-ks11"
0.200;1;1.30;18098;6490;"Toker Poker Smoke-Calvo Glass";10323;3;4990;"Difusor Calvo Classic 18mm - 14mm - 14cm";"calvo glass";"https://astrogrowshop.cl/toker-poker-smoke-calvo-glass"
0.200;1;6.51;33215;1290;"Kap Silicona -Pmg - VERDE FLUO";6771;2;8400;"Pipa silicona llavero de Piece Maker";"silicona pmg";"https://astrogrowshop.cl/kap-silicona-pmg?variant=VERDE%20FLUO"
0.200;1;1.35;23544;32990;"Godfella Con Lock 17 Cm Black-Dime Bags";10606;2;24504;"Dime Bags The Goodfella 17cm";"dime bags";"https://astrogrowshop.cl/godfella-con-lock-17-cm-black-dime-bags"
0.200;1;1.15;31632;24990;"Dream Rig-Bonglab - verde";11032;2;28800;"Bonglab Bong Pocket Twister 23cm Negro";"bonglab verde";"https://astrogrowshop.cl/dream-rig-bonglab?variant=verde"
0.200;1;1.67;17935;74990;"Water Fenix Blue-Bonglab";10221;2;44900;"Bong Shiva Blue Bonglab 25cm con Percolador | Vidrio Borosilicato";"blue bonglab";"https://astrogrowshop.cl/water-fenix-blue-bonglab"
0.199;1;3.50;18098;6490;"Toker Poker Smoke-Calvo Glass";10374;2;22743;"Calvo Glass Bong Essential 22cm";"calvo glass";"https://astrogrowshop.cl/toker-poker-smoke-calvo-glass"
0.198;1;1.12;12147;7490;"10 Boquillas Silicona Surtidas-Pmg";6771;2;8400;"Pipa silicona llavero de Piece Maker";"silicona pmg";"https://astrogrowshop.cl/10-boquillas-silicona-surtidas-pmg"
0.194;1;1.45;12302;64990;"Elty8 Monster Blue-Bonglab";10221;2;44900;"Bong Shiva Blue Bonglab 25cm con Percolador | Vidrio Borosilicato";"blue bonglab";"https://astrogrowshop.cl/elty8-monster-blue-bonglab"
0.193;1;1.23;17737;33990;"Pack Bong Bonglab Little Buchner KS10";10538;2;27541;"Bonglab Bong Lucky Goblin";"bong bonglab";"https://astrogrowshop.cl/pack-bong-bonglab-little-buchner-ks10"
0.192;1;2.37;799;9990;"Almohadillas De Relleno Volcano Y Plenty 2Pcs-Storz & Bickel";10602;2;23655;"Storz & Bickel Cargador para auto 12V Mighty";"storz bickel";"https://astrogrowshop.cl/almohadillas-de-relleno-volcano-y-plenty-2pcs-storz-bickel"
0.190;1;1.91;17737;33990;"Pack Bong Bonglab Little Buchner KS10";10394;2;64990;"BongLab Elty8 Monster Bong 48cm";"bong bonglab";"https://astrogrowshop.cl/pack-bong-bonglab-little-buchner-ks10"
0.190;1;1.70;1172;1190;"Tubos Contenedores Diseños Mix 1Und-Soulblime";10527;2;700;"Soulblime Bolsa Hermética Diseños";"disenos soulblime";"https://astrogrowshop.cl/tubos-contenedores-disenos-mix-1und-soulblime"
0.188;1;2.15;32775;61990;"K30 -Bonglab - Verde azulado";11032;2;28800;"Bonglab Bong Pocket Twister 23cm Negro";"bonglab verde";"https://astrogrowshop.cl/k30-bonglab?variant=Verde%20azulado"
0.187;1;0.00;12511;26470;"Packs Accesorios Purify 18Mm/Rejilla 19Mm-Bonglab";6777;2;0;"Bonglab American Hitter 18mm";"18mm bonglab";"https://astrogrowshop.cl/packs-accesorios-purify-18mmrejilla-19mm-bonglab"
