dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
6,"Encendedores y sopletes",31478,1,,6990,"Clipper Encendedor Metálico Demon Gradient",34113,2,,6990,"Encendedor Clipper Metálico Demon Gradient - Brillante"
6,"Otros parafernalia",16115,3,10496,8091,"HighTrip - Pipazo",33426,1,,7990,"Pin-Hightrip - PIPAZO"
7,"Bongs",31664,1,,27990,"Jelly Drop-Bonglab - Ámbar",33845,2,,29990,"Bonglab Bong Jelly Drop 20cm - Ámbar"
8,"Contenedores y estuches",31295,1,,37990,"Bolso 4X4 Con Clave -Ozeta - Morado",33912,2,5780,42990,"Ozeta Chestbag 4x4 con clave - Anti-olor - Morado"
8,"Filtros y boquillas",13562,2,10301,9490,"Boquillas Filtro Carbón Activo Calvo Pink 6 mm 50 Uds.",32687,1,,9490,"FILTRO CARBON ACTIVADO 50U-CALVO - Rosa"
8,"Otros parafernalia",19940,2,10496,8091,"Hightrip Pin Pipazo",33426,1,,7990,"Pin-Hightrip - PIPAZO"
8,"Otros parafernalia",20258,2,,8990,"Hightrip Tattoo&#39;s",33423,1,,7990,"Pin-Hightrip - HIGHTRIP TATTOS"
8,"Repuestos para bongs y vaporizadores",12847,2,10256,5391,"Bonglab Quemador Perlas - Macho 14mm",31416,1,,5990,"Quemador Perlas Macho 14Mm - Bonglab - GOLDEN"
8,"Repuestos para bongs y vaporizadores",31416,1,,5990,"Quemador Perlas Macho 14Mm - Bonglab - GOLDEN",33985,2,10256,5391,"Bonglab Quemador Perlas - Macho 14mm - Ambar"
8,"Vaporizadores herbales",14221,3,10321,269691,"Vaporizador Focus V Carta Sport | PIRANHA",31574,1,,269790,"VAPORIZADOR CARTA SPORT -FOCUS V - Morado"
9,"Bongs",26,1,5778,16990,"Tiny Bell -Bonglab",34668,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Transparente"
9,"Bongs",31733,1,,15990,"Tiny Bell -Bonglab - CLEAR",34668,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Transparente"
9,"Otros parafernalia",15879,3,10594,89991,"Polerón RAW Hoodie Escondites Secretos (L/XL/XXL) | PIR",36867,2,,117990,"Polerón Hoodie Canguro Raw Rawlers - Bolsillos Secretos"
9,"Otros parafernalia",15879,3,10594,89991,"Polerón RAW Hoodie Escondites Secretos (L/XL/XXL) | PIR",36868,2,,117990,"Polerón Hoodie Canguro Raw Rawlers - Bolsillos Secretos"
9,"Otros parafernalia",15879,3,10594,89991,"Polerón RAW Hoodie Escondites Secretos (L/XL/XXL) | PIR",36869,2,,117990,"Polerón Hoodie Canguro Raw Rawlers - Bolsillos Secretos"
9,"Otros parafernalia",15989,3,,8091,"HighTrip - HighSkulls 2",33422,1,,7990,"Pin-Hightrip - HIGH SKULLS 2"
9,"Repuestos para bongs y vaporizadores",13155,2,,29990,"Bonglab Atrapa cenizas Slits macho 18mm 90°",32162,1,10718,24990,"Atrapa Ceniza Perc 18Mm -Bonglab - Negro"
10,"Bandejas y ceniceros",12671,1,10533,1990,"Cenicero Diseños Surtido-Soulblime",36146,2,,2190,"Soulblime Cenicero Metálico - Diseños - Space"
10,"Contenedores y estuches",15967,3,,39992,"Banano Anti Olor Fanny Pack Blazy Susan Pink | PIRANHA",33188,1,,48990,"Bolso Smellprrof Cruzado -Blazy Susan - Rosa"
10,"Filtros y boquillas",12379,1,10242,14990,"Purize Filtros De Carbon Activado Xtra Slim 50U -Blazy",35475,2,,12990,"Blazy Susan Filtros de carbón activado Xtra Slim 50 uds"
10,"Filtros y boquillas",13555,2,10242,12990,"Blazy Susan Filtros de carbón activado Xtra Slim 50 uds",32344,1,,14990,"Purize Filtros De Carbon Activado Xtra Slim 50U -Blazy"
10,"Filtros y boquillas",32344,1,,14990,"Purize Filtros De Carbon Activado Xtra Slim 50U -Blazy",35475,2,,12990,"Blazy Susan Filtros de carbón activado Xtra Slim 50 uds"
10,"Repuestos para bongs y vaporizadores",14175,3,6020,6990,"Quemador Macho Bonglab 14mm | PIRANHA",31403,1,,6990,"Quemador Macho 14Mm -Bonglab - Morado"
11,"Accesorios de extraccion",11054,3,10560,579591,"Vaporizador Puffco New Peak Pro Onyx 3DXL Limited | PIR",31797,1,,597990,"New Peak Pro Pearl + 3Dxl-Puffco - ONYX"
11,"Conos y blunts",3328,3,5707,2990,"Conos Pre-Enrolados Blazy Susan 1 1/4 6u Unbleached | P",32181,1,,3990,"Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan - UNBLEACHED"
11,"Contenedores y estuches",11061,3,10571,30990,"Estuche Ywiwis Pizza - OZeta | PIRANHA",32847,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - PIZZA"
