metric,value
generatedAt,2026-05-14T17:30:42.665Z
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1333
curatedProducts,166
visibleProducts,154
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,107
threeStoreProducts,40
fourStoreProducts,7
missingImages,0
