offerId,store,title,top1_productId,top1_modelSlug,top1_stores,top1_sim,top1_brandKey,top1_tienda_ya_presente,top1_title,top2_productId,top2_modelSlug,top2_stores,top2_sim,top2_tienda_ya_presente,top3_productId,top3_modelSlug,top3_stores,top3_sim,top3_tienda_ya_presente
2705,astrogrowshop,"Pipa Pyrex Dominionx 96- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
2719,astrogrowshop,"Pipa Pyrex Hellstorm 112- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
2734,astrogrowshop,"Pipa Pyrex Neonix 65- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
3212,growbarato,"Pipas de Pirex Pequeñas | Pipas de Vidrio Resistentes en Chi",10764,spray-detox-30ml,3,0.214,kleaner,si,"Kleaner Spray – Limpiador de Toxinas en Saliva | G",10523,hitter,2,0.200,ozeta,si,"Hitter OZeta de vidrio",10227,rick-morty,3,0.200,calvo,si,"Bong Rick & Morty 22 cm CalvoGlass | Bong de Vidri"
3225,growbarato,"Kit Fumeta OZeta Case XL antiolor",10391,case-xl,3,0.429,ozeta,no,"Case XL - OZeta | PIRANHA",10391,case-xl,3,0.429,ozeta,no,"Ozeta Case XL - Anti-olor",10391,case-xl,3,0.375,ozeta,no,"Ozeta Case XL - Anti-olor - Pequeño"
4650,fumetas,"LRC Moledor contenedor Tainer 40mm",6471,40mm,2,0.286,the-bulldog,si,"Moledor Bulldog 40mm 1 piso",5510,herb-saver-mini,3,0.182,blazy-susan,si,"Blazy Susan Moledor Contenedor Mini Herb Saver Ros",5510,herb-saver-mini,3,0.182,blazy-susan,si,"Blazy Susan Moledor Contenedor Mini Herb Saver Lil"
8172,fumetas,"Grav Pipa Rocker Steamroller 12cm",5494,kazili,3,0.286,piecemaker,si,"PMG Pipa Kazili 12cm",5534,heavy-bubbler,2,0.250,cabo,si,"Cabo Pipa Heavy Bubbler 12cm",5486,classic-mini,2,0.222,american-helix,si,"American Helix Pipa Classic Mini 12cm"
11524,growbarato,"DaVinci MIQRO ➤Vaporizador portátil",8651,miqro-c,4,0.600,davinci,si,"Davinci Miqro-C | Vaporizador portátil",8651,miqro-c,4,0.600,davinci,si,"Vaporizador DaVinci Miqro C - Herbal",8651,miqro-c,4,0.600,davinci,si,"Davinci Miqro-C | Vaporizador portátil"
11531,growbarato,"Super Dab Cleaner Eco | Limpiador de bongs",10252,super-dab-cleaner-250ml,3,0.556,thievery,si,"Super Dab Cleaner de Thievery limpieza bongs",10252,super-dab-cleaner-250ml,3,0.333,thievery,si,"Limpiador de Pipas y Bongs Thievery Super DabClean",10252,super-dab-cleaner-250ml,3,0.333,thievery,si,"Thievery Super Dab Cleaner 250 ml"
11534,growbarato,"Filtros Prima-Klima para eliminar los olores",10740,almohadillas-extraccion,2,0.154,storz-bickel,no,"Malla Para Extractos Pequeñas 4 Piezas Para Todos ",5715,gummed-tip-gummed,5,0.125,raw,si,"Filtros Tips Gummed-Raw",10870,regular-7-5mm,2,0.125,ocb,si,"Filtros Regular Ocb"
