metric,value
runId,2026-05-18T04-21-15-932Z
generatedAt,2026-05-18T04:21:16.114Z
regeneratedFiles,00-summary.csv | 01-home-visible.csv | 02-visible-products.csv | 03-categories.csv | 04-risks.csv | 05-opportunities.csv | 06-single-store-curated.csv | 07-two-store-curated.csv | 08-three-store-curated.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1336
curatedProducts,169
visibleProducts,157
singleStoreCuratedProducts,12
homeProducts,157
twoStoreProducts,91
threeStoreProducts,49
fourStoreProducts,17
missingImages,0
