avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
30,Accesorios de extraccion,0,0,9,42,61,4,3,9,15
12,Bandejas y ceniceros,0,0,10,23,51,5,5,10,20
20,Bongs,7,0,83,69,172,31,18,83,48
23,Conos y blunts,0,0,26,61,75,12,12,26,35
19,Contenedores y estuches,0,0,26,54,85,11,8,26,31
19,Encendedores y sopletes,1,0,64,61,100,8,5,64,64
49,Filtros y boquillas,0,1,17,98,63,7,4,17,27
0,Limpieza,0,0,9,0,14,0,0,0,64
27,Moledores,0,3,58,134,242,25,20,58,24
25,Otros parafernalia,0,0,7,49,36,3,2,7,19
37,Papelillos,0,3,59,148,174,24,14,59,34
16,Pipas,0,0,28,37,216,10,8,28,13
21,Repuestos para bongs y vaporizadores,0,1,34,80,113,15,12,34,30
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
11,Vaporizadores herbales,0,0,23,36,37,10,7,23,62
