avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
30,Accesorios de extraccion,0,0,9,42,61,4,3,9,15
12,Bandejas y ceniceros,0,0,10,23,51,5,5,10,20
20,Bongs,7,0,83,69,169,31,18,83,49
23,Conos y blunts,0,0,26,61,75,12,12,26,35
18,Contenedores y estuches,0,0,26,54,85,11,8,26,31
19,Encendedores y sopletes,1,0,64,61,100,8,5,64,64
49,Filtros y boquillas,0,1,17,98,62,7,4,17,27
0,Limpieza,0,0,8,0,13,0,0,0,62
27,Moledores,0,3,58,134,242,25,20,58,24
25,Otros parafernalia,0,0,7,49,36,3,2,7,19
37,Papelillos,0,3,59,148,173,24,14,59,34
16,Pipas,0,0,28,37,217,10,8,28,13
21,Repuestos para bongs y vaporizadores,0,1,34,80,113,15,12,34,30
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
11,Vaporizadores herbales,0,0,23,36,36,10,7,23,64
