metric,value
runId,2026-05-16T19-28-16-351Z
generatedAt,2026-05-16T19:28:16.722Z
regeneratedFiles,00-summary.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1336
curatedProducts,169
visibleProducts,157
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,84
threeStoreProducts,55
fourStoreProducts,18
missingImages,0
