offerId;variante;conStock;precio;productIds;slugs;tiendas;tipo;arreglaFalsoSinStock;skuYaEnDestino;titulo;url
31196;Plata;no;49990;5999;slx/ceramic-50mm;5;unico-destino;no;no;Moledor 5Cm -Slx - Plata;https://astrogrowshop.cl/moledor-5cm-slx?variant=Plata
31197;Rosa;no;49990;5999;slx/ceramic-50mm;5;unico-destino;no;no;Moledor 5Cm -Slx - Rosa;https://astrogrowshop.cl/moledor-5cm-slx?variant=Rosa
32561;azul;no;69990;10289;calvo/monster;4;unico-destino;no;si-huerfana-mas-vieja-que-of12521;Rig Con Percolador De Arbol -Calvo Glass - azul;https://astrogrowshop.cl/rig-con-percolador-de-arbol-calvo-glass?variant=azul
32562;Naranjo;si;65990;10289;calvo/monster;4;unico-destino;no;no;Rig Con Percolador De Arbol -Calvo Glass - Naranjo;https://astrogrowshop.cl/rig-con-percolador-de-arbol-calvo-glass?variant=Naranjo
32564;Verde azulado;no;69990;10289;calvo/monster;4;unico-destino;no;no;Rig Con Percolador De Arbol -Calvo Glass - Verde azulado;https://astrogrowshop.cl/rig-con-percolador-de-arbol-calvo-glass?variant=Verde%20azulado
32563;Morado;si;65990;10289;calvo/monster;4;unico-destino;no;no;Rig Con Percolador De Arbol -Calvo Glass - Morado;https://astrogrowshop.cl/rig-con-percolador-de-arbol-calvo-glass?variant=Morado
78139;14 CM;si;3790;10401;bonglab/difusor-negro-14mm-12cm;2;unico-destino;no;si-huerfana-mas-vieja-que-of12237;Difusor Logo Negro 14Mm -Bonglab (14Cm/12Cm) - 14 CM;https://astrogrowshop.cl/difusor-logo-negro-14mm-bonglab?variant=14%20CM
32197;14CM;no;3790;10401;bonglab/difusor-negro-14mm-12cm;2;unico-destino;no;si-huerfana-mas-vieja-que-of12237;Difusor Logo Negro 14Mm -Bonglab (14Cm/12Cm) - 14CM;https://astrogrowshop.cl/difusor-logo-negro-14mm-bonglab?variant=14CM
32198;12CM;no;3990;10401;bonglab/difusor-negro-14mm-12cm;2;unico-destino;no;si-huerfana-mas-vieja-que-of78140;Difusor Logo Negro 14Mm -Bonglab (14Cm/12Cm) - 12CM;https://astrogrowshop.cl/difusor-logo-negro-14mm-bonglab?variant=12CM
31210;Dorado;no;28990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - Dorado;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Dorado
31214;Morado;no;31990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - Morado;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Morado
31207;Negro;si;28990;5356;galaxy/aluminio-73mm;4;unico-destino;no;si-huerfana-mas-vieja-que-of4424;Moledor 73MM -Galaxy - Negro;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Negro
31211;Oro rosa;si;28990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - Oro rosa;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Oro%20rosa
31212;Plata;si;28990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - Plata;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Plata
31208;azul;no;31990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - azul;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=azul
31213;Rojo;si;28990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - Rojo;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=Rojo
31209;verde;no;31990;5356;galaxy/aluminio-73mm;4;unico-destino;no;no;Moledor 73MM -Galaxy - verde;https://astrogrowshop.cl/moledor-73mm-galaxy?variant=verde
32200;12 CM;no;3990;10359;bonglab/difusor-logo-14mm-morado;3;unico-destino;no;no;Difusor Logo Purple 14Mm-Bonglab (14Cm/12Cm) - 12 CM;https://astrogrowshop.cl/difusor-logo-purple-14mm-bonglab?variant=12%20CM
31308;AZUL/DONAS;si;9990;10333;zengaz/zt-70;2;unico-destino;si;si-huerfana-mas-vieja-que-of12250;Encendedor Torch Zt-70 - Zengaz - AZUL/DONAS;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=AZUL%2FDONAS
31309;Azul;si;9990;10333;zengaz/zt-70;2;unico-destino;si;no;Encendedor Torch Zt-70 - Zengaz - Azul;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=Azul
77154;BLUE-DONAS;no;9990;10333;zengaz/zt-70;2;unico-destino;no;si-huerfana-mas-vieja-que-of12250;Encendedor Torch Zt-70 - Zengaz - BLUE-DONAS;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=BLUE-DONAS
31310;ROSA/BLANCO;si;9990;10333;zengaz/zt-70;2;unico-destino;si;no;Encendedor Torch Zt-70 - Zengaz - ROSA/BLANCO;https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=ROSA%2FBLANCO
