offerId,tienda,titulo,precio,productId,modelSlug,tiendasDestino,ratioPrecio,senal,queVendeEstaTiendaEnElDestino,identidadOferta
87668,friendlygrow,"Vaporizador Para Hierbas Fenix 2.0 – Convección Real, Control Total",119990,P10365,weecke/fenix-2-max,2t,0.97,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.friendlygrow.cl/vaporizador-para-hierbas-fenix-20
88232,friendlygrow,Boquilla de Enfriamiento Vaporizador Herbal Fenix Neo,24990,P10506,weecke/boquilla-fenix-neo,2t,2.27,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.friendlygrow.cl/boquilla-de-enfriamiento-herbal-fenix-neo
88236,friendlygrow,Boquilla de Enfriamiento Vaporizador Herbal Fenix Pro,19990,P10507,weecke/boquilla-fenix-pro,2t,4.01,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.friendlygrow.cl/boquilla-de-enfriamiento-herbal-fenix-pro
88230,friendlygrow,Boquilla de Enfriamiento Vaporizador Herbal Fenix Mini +,19990,P10510,weecke/oil-cup-fenix-mini-plus,2t,3.64,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.friendlygrow.cl/boquilla-de-enfriamiento-herbal-fenix-mini
