productId;tiendas;producto;slug;staleOfferId;variante;stalePrice;staleStock;twin;twinOfferId;twinPrice;mismoPrecio
10376;5;Ozeta Banano con Clave Anti-Olor;ozeta/banano-con-clave;32832;Rojo;33990;true;gemela-huerfana;78937;33990;true
10376;5;Ozeta Banano con Clave Anti-Olor;ozeta/banano-con-clave;32833;Morado;36990;true;gemela-huerfana;78938;36990;true
10376;5;Ozeta Banano con Clave Anti-Olor;ozeta/banano-con-clave;32829;Amarillo;44990;false;gemela-huerfana;78935;44990;true
10376;5;Ozeta Banano con Clave Anti-Olor;ozeta/banano-con-clave;32830;Negro;36990;true;gemela-huerfana;78938;36990;true
10376;5;Ozeta Banano con Clave Anti-Olor;ozeta/banano-con-clave;32831;Rosa;36990;true;gemela-huerfana;78938;36990;true
10665;4;Ignite Soplete Compact;ignite/compact;33034;Negro;21990;true;gemela-huerfana;77636;21990;true
10665;4;Ignite Soplete Compact;ignite/compact;33035;Azul;21990;true;gemela-huerfana;77636;21990;true
10665;4;Ignite Soplete Compact;ignite/compact;33036;Verde;21990;true;gemela-huerfana;77636;21990;true
10665;4;Ignite Soplete Compact;ignite/compact;33038;Rosa;21990;true;gemela-huerfana;77636;21990;true
10665;4;Ignite Soplete Compact;ignite/compact;33039;Blanco;21990;true;gemela-huerfana;77636;21990;true
10718;4;Bonglab Atrapa Cenizas Slits Macho 18mm 90°;bonglab/atrapa-cenizas-slits-18mm;32161;Morado;24990;true;gemela-huerfana;78085;24990;true
10718;4;Bonglab Atrapa Cenizas Slits Macho 18mm 90°;bonglab/atrapa-cenizas-slits-18mm;32162;Negro;24990;true;gemela-huerfana;78085;24990;true
10718;4;Bonglab Atrapa Cenizas Slits Macho 18mm 90°;bonglab/atrapa-cenizas-slits-18mm;32163;Transparente;24990;true;gemela-huerfana;78085;24990;true
10718;4;Bonglab Atrapa Cenizas Slits Macho 18mm 90°;bonglab/atrapa-cenizas-slits-18mm;32166;Verde;24990;true;gemela-huerfana;78085;24990;true
10790;4;Oxbar Svopp Batería;oxbar/svopp-bateria;47703;Negro;14990;true;gemela-en-el-mismo-producto;47705;14990;true
10790;4;Oxbar Svopp Batería;oxbar/svopp-bateria;47704;Plata;14990;false;gemela-en-el-mismo-producto;47705;14990;true
5705;3;Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan;blazy-susan/pre-roll-pink-1-1-4-6u;32180;ROSADO;3990;true;gemela-huerfana;78122;3990;true
5706;3;Conos Pre-Enrolados Blazy Susan King Size 3u Pink | PIRANHA;blazy-susan/pre-roll-pink-king-size-3u;32186;Rosa;3990;true;gemela-huerfana;78128;3990;true
5712;3;Blazy Susan Conos Pre-enrolados Shorty 12 uds.;blazy-susan/pre-roll-shorty-53mm-12u;32327;Rosa;4990;true;gemela-huerfana;78340;4990;true
5731;3;Blazy Susan Cenicero Deluxe;blazy-susan/ashtray-deluxe;32489;Amarillo;13990;false;gemela-huerfana;78543;13990;true
5732;3;Bandeja Enrolado Neon Tray LED;bonglab/neon-led;32694;Blanco;29990;false;gemela-huerfana;78787;29990;true
5732;3;Bandeja Enrolado Neon Tray LED;bonglab/neon-led;32696;Verde;29990;false;gemela-huerfana;78787;29990;true
5732;3;Bandeja Enrolado Neon Tray LED;bonglab/neon-led;32693;Azul;23990;true;gemela-huerfana;78790;23990;true
5732;3;Bandeja Enrolado Neon Tray LED;bonglab/neon-led;32695;Morado;23990;true;gemela-huerfana;78790;23990;true
5732;3;Bandeja Enrolado Neon Tray LED;bonglab/neon-led;32697;Rosa;23990;false;gemela-huerfana;78790;23990;true
5760;3;CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB;bonglab/extract-container-extracts-4ml;32124;TAPA BLANCA;3490;true;gemela-huerfana;78045;3490;true
5760;3;CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB;bonglab/extract-container-extracts-4ml;32125;TAPA NEGRA;3490;true;gemela-huerfana;78045;3490;true
5764;3;Estuche Anti Olor OZeta Mediano (Color a elección);ozeta/case-antiolor-medium;31641;Negro;30990;true;gemela-huerfana;77547;30990;true
5764;3;Estuche Anti Olor OZeta Mediano (Color a elección);ozeta/case-antiolor-medium;31640;Morado;27990;true;gemela-huerfana;31642;27990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;31295;Morado;37990;true;gemela-huerfana;77141;37990;true
5780;3;Ozeta Chestbag 4x4 con clave - Anti-olor;ozeta/bag-chestbag-4x4-4x4;31296;Rosa;44990;false;gemela-huerfana;77142;44990;true
