offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;ejemplosDestino;lastSeenAt;url
509;piranha;clipper;"Kit Encendedor Clipper x Piranha";2451;Encendedores y sopletes;26;P5724:torch-lighter-jet-flame(3t) P10480:metalico-deep-blue(2t) P10304:super-pocket-1(2t);2026-07-27;https://piranha.cl/inicio/5855/kit-encendedor-clipper-x-piranha.html
696;piranha;clipper;"Kit Premium OCB x Piranha";21592;Otros parafernalia;26;P5724:torch-lighter-jet-flame(3t) P10480:metalico-deep-blue(2t) P10304:super-pocket-1(2t);2026-07-27;https://piranha.cl/inicio/6093/kit-ocb-premium-piranha.html
80459;piranha;cookies;"Terpeno Terps USA Gelato (5mL) | PIRANHA";29742;Otros parafernalia;2;P10618:metal-metal(2t) P10659:stundenglass-gravity-hookah(3t);2026-07-27;https://piranha.cl/inicio/7658/terpeno-terps-usa-girl-scout-cookies-5ml.html
80675;piranha;cookies;"Terpeno Cali Terpenes 1mL (Lemon Cookies) | PIRANHA";13993;Otros parafernalia;2;P10618:metal-metal(2t) P10659:stundenglass-gravity-hookah(3t);2026-07-27;https://piranha.cl/inicio/7497/terpeno-cali-terpenes-1ml-lemon-cookies.html
80602;piranha;cookies;"Terpeno Cali Terpenes 1mL (Girl Scout Cookies) | PIRANHA";13993;Otros parafernalia;2;P10618:metal-metal(2t) P10659:stundenglass-gravity-hookah(3t);2026-07-27;https://piranha.cl/inicio/7513/terpeno-cali-terpenes-1ml-girl-scout-cookies.html
15914;piranha;davinci;"Glass Spacer - DaVinci IQ";15490;Vaporizadores herbales;1;P10891:miqro(3t);2026-07-27;https://piranha.cl/inicio/1426/glass-spacer-davinci-iq.html
15913;piranha;davinci;"Boquilla Plana DaVinci MIQRO";4794;Repuestos para bongs y vaporizadores;1;P10891:miqro(3t);2026-07-27;https://piranha.cl/inicio/1369/boquilla-plana-davinci-miqro.html
15915;piranha;davinci;"TEMP/RMP Gasket - DaVinci MIQRO";796;Vaporizadores herbales;1;P10891:miqro(3t);2026-07-27;https://piranha.cl/inicio/2446/temprmp-gasket-davinci-miqro.html
15807;piranha;davinci;"ARTIQ - DaVinci | PIRANHA";59492;Vaporizadores herbales;1;P10891:miqro(3t);2026-07-27;https://piranha.cl/inicio/6747/davinci-artiq-color-a-eleccion.html
15947;piranha;davinci;"Boquilla DaVinci";4995;Repuestos para bongs y vaporizadores;1;P10891:miqro(3t);2026-07-27;https://piranha.cl/inicio/1149/boquilla-davinci-iq.html
15848;piranha;dime-bags;"Bolso Anti Olor Dime Bags The Don con Candado | PIRANHA";34993;Contenedores y estuches;2;P10607:button-bandolera(2t) P10762:the-don-con-clave(2t);2026-07-27;https://piranha.cl/inicio/8354/bolso-anti-olor-dime-bags-the-don-con-candado-color-a-eleccion.html
511;piranha;dynavap;"Vaporizador DynaVap WoodWynd | PIRANHA";180491;Vaporizadores herbales;3;P10532:bonger(2t) P10439:the-b(3t) P10189:m7-xl(3t);2026-07-27;https://piranha.cl/inicio/7343/vaporizador-dynavap-woodwynd.html
15934;piranha;dynavap;"DynaVap The Wand Adaptor | PIRANHA";18990;Vaporizadores herbales;3;P10532:bonger(2t) P10439:the-b(3t) P10189:m7-xl(3t);2026-07-27;https://piranha.cl/inicio/7454/dynavap-the-wand-adaptor.html
80584;piranha;focus-v;"Boquilla Swivel Carta 2/Sport y Aeris Focus V | PIRANHA";24291;Repuestos para bongs y vaporizadores;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8859/boquilla-swivel-carta-2sport-y-aeris-focus-v.html
16066;piranha;focus-v;"Boquilla Aeris Focus V | PIRANHA";42741;Repuestos para bongs y vaporizadores;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8722/boquilla-aeris-focus-v.html
80196;piranha;focus-v;"Kit Silicona + Swivel Carta 2/Sport Focus V | PIRANHA";47491;Otros parafernalia;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8858/kit-silicona-swivel-carta-2sport-focus-v-color-a-eleccion.html
14380;piranha;focus-v;"Cargador Inalámbrico Focus V Aeris | PIRANHA";75991;Repuestos para bongs y vaporizadores;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8721/cargador-inalambrico-focus-v-aeris.html
80741;piranha;focus-v;"Bubbler (Burbujeador) Aeris Focus V | PIRANHA";98991;Bongs;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8857/bubbler-burbujeador-aeris-focus-v-color-a-eleccion.html
16067;piranha;focus-v;"Adaptador Intelli-Core Max para Aeris Focus V | PIRANHA";23741;Repuestos para bongs y vaporizadores;1;P10467:cargador-inalambrico-carta-2(2t);2026-07-27;https://piranha.cl/inicio/8726/adaptador-intelli-core-max-para-aeris-focus-v.html
10784;piranha;galaxy;"Biodegradable Hemp Grinder Cáñamo";4990;Moledores;3;P5733:ashtray-ash-holder(2t) P5498:ecologico(3t) P10694:quartz-63mm(2t);2026-07-27;https://piranha.cl/inicio/6105/moledor-biodegradable-hemp-canamo-2-partes-color-a-eleccion.html
15836;piranha;g-pen;"Vaporizador Connect";79996;Vaporizadores herbales;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/6145/vaporizador-connect.html
15948;piranha;g-pen;"G Pen Elite Adaptador para Bong";11394;Repuestos para bongs y vaporizadores;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/1616/g-pen-elite-adaptador-para-bong.html
15949;piranha;g-pen;"Boquilla G Pen Pro (incluye malla)";3995;Filtros y boquillas;3;P10608:connect-glass-adapter-18mm(2t) P10609:roam-glass-tube(2t) P10684:mouthpiece-dash-dr-greenthumbs(2t);2026-07-27;https://piranha.cl/inicio/1623/boquilla-g-pen-pro-incluye-malla.html
