reason,url,title,category
url-no-producto,https://fumetas.cl/marcas/moose-labs,"",
sin-senal,https://fumetas.cl/mantel-de-silicona-pequeno,"",
sin-senal,https://fumetas.cl/mantel-de-silicona-mediano-grande,"",
url-no-producto,https://fumetas.cl/marcas/ryot,"",
url-no-producto,https://fumetas.cl/marcas/puffco,"",
sin-senal,https://fumetas.cl/agenda-cogollin-2021,"",
sin-senal,https://fumetas.cl/mascara-skull-catrina,"",
sin-senal,https://fumetas.cl/polerones,"",
sin-senal,https://fumetas.cl/cap-sphere-colores,"",
url-no-producto,https://fumetas.cl/marcas/yocan,"",
sin-senal,https://fumetas.cl/hit-mouthpiece,"",
sin-senal,https://fumetas.cl/falcone-pancake-coil,"",
url-no-producto,https://fumetas.cl/marcas/cannabolish,"",
sin-senal,https://fumetas.cl/juegos-de-mesa,"",
sin-senal,https://fumetas.cl/figuras-de-coleccion,"",
sin-senal,https://fumetas.cl/naipe-ingles-tw-royal-100-plasticas-lavables,"",
sin-senal,https://fumetas.cl/lrc-tora-tora-figura-de-coleccion,"",
sin-senal,https://fumetas.cl/control-de-olores,"",
sin-senal,https://fumetas.cl/vaporizacion/cigarrillos-electronicos/recargables,"",
url-no-producto,https://fumetas.cl/marcas/vaporesso,"",
sin-senal,https://fumetas.cl/vaporesso-xros-12-pod,"",
sin-senal,https://fumetas.cl/vaporesso-sky-solo-starter-kit,"",
sin-senal,https://fumetas.cl/vaporesso-gt-8-cores-015ohm-3pcs,"",
sin-senal,https://fumetas.cl/vaporizacion/cigarrillos-electronicos/e-liquids,"",
url-no-producto,https://fumetas.cl/marcas/nasty,"",
url-no-producto,https://fumetas.cl/marcas/stundenglass,"",
sin-senal,https://fumetas.cl/manual-de-uso-vaporesso-xros,"",
sin-senal,https://fumetas.cl/vaporesso-euc-eco-universal-coil-06-mesh,"",
sin-senal,https://fumetas.cl/vaporesso-luxe-pm40-pod-4ml,"",
sin-senal,https://fumetas.cl/vaporesso-renova-zero-mesh-pod-kit,"",
url-no-producto,https://fumetas.cl/marcas/poppular,"",
sin-senal,https://fumetas.cl/greenco-mouthpiece-dash-classic,"",
url-no-producto,https://fumetas.cl/marcas/cookies,"",
url-no-producto,https://fumetas.cl/marcas/pilloweed,"",
sin-senal,https://fumetas.cl/pilloweed-amnesia-almohada-xl,"",
sin-senal,https://fumetas.cl/pilloweed-lemon-haze-almohada-xl,"",
sin-senal,https://fumetas.cl/pilloweed-purple-kush-almohada-xl,"",
sin-senal,https://fumetas.cl/pilloweed-cano-mediano-almohada,"",
