nivel,sim,dist,priceRatio,productId,productName,category,offerId,offerTitle,offerPrice,offerUrl,offerImage
2,0.6536,138,1.17,10753,"Encendedor Clipper Metálico Turquoise",Encendedores y sopletes,87978,"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Rojo",5990,https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/70293127/airis_20350mAh_20V2.0_20Battery_20_284_29.jpg?1781578046
2,0.653,124,1.17,10752,"Encendedor Clipper Metálico Safari",Encendedores y sopletes,87504,"Nectar Collector Chili – Dab Straw de Silicona - Rojo",5990,https://www.friendlygrow.cl/nectar-collector-chili-dab-straw-de-silicona?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/74450522/1.jpg?1773156011
2,0.653,124,1.17,10752,"Encendedor Clipper Metálico Safari",Encendedores y sopletes,87505,"Nectar Collector Chili – Dab Straw de Silicona - Morado",5990,https://www.friendlygrow.cl/nectar-collector-chili-dab-straw-de-silicona?variant=Morado,https://cdnx.jumpseller.com/friendly-grow/image/74450522/1.jpg?1773156011
2,0.653,124,1.17,10752,"Encendedor Clipper Metálico Safari",Encendedores y sopletes,87503,"Nectar Collector Chili – Dab Straw de Silicona - Rosa",5990,https://www.friendlygrow.cl/nectar-collector-chili-dab-straw-de-silicona?variant=Rosa,https://cdnx.jumpseller.com/friendly-grow/image/74450522/1.jpg?1773156011
2,0.6477,140,1.07,10658,"Puffco Proxy Travel Pack",Accesorios de extraccion,87977,"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Azul",59990,https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/70293126/airis_20350mAh_20V2.0_20Battery_20_285_29.jpg?1781578046
2,0.6348,112,1.23,6777,"Bonglab American Hitter 18mm",Pipas,87985,"Vaporizador Airis Vertex 2.0 Para Cartridges Cargador Tipo C",7990,https://www.friendlygrow.cl/vaporizador-airis-vertex-20-para-cartridges-cargador-tipo-c?variant=Blanco,https://cdnx.jumpseller.com/friendly-grow/image/70293147/airis_20350mAh_20V2.0_20Battery_20_283_29.jpg?1764595731
2,0.6144,140,1.07,10658,"Puffco Proxy Travel Pack",Accesorios de extraccion,87975,"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Tornaso",59990,https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Tornasol,https://cdnx.jumpseller.com/friendly-grow/image/70293131/airis_20350mAh_20V2.0_20Battery_20_2811_29.jpg?1781578046
2,0.6131,126,1.15,5801,"Kit limpiador de bongs Fórmula Secreta 420 250mL",Limpieza,87635,"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - D",6290,https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%204,https://cdnx.jumpseller.com/friendly-grow/image/75851217/YD312-C_20_2817_29.jpg?1776370701
2,0.6117,125,1.23,10333,"Encendedor Zengaz Torch ZT-70 | PIRANHA",Encendedores y sopletes,87986,"Vaporizador Airis Vertex 2.0 Para Cartridges Cargador Tipo C",7990,https://www.friendlygrow.cl/vaporizador-airis-vertex-20-para-cartridges-cargador-tipo-c?variant=Tornasol,https://cdnx.jumpseller.com/friendly-grow/image/70293158/airis_20350mAh_20V2.0_20Battery_20_2811_29.jpg?1764595731
3,0.6092,130,1.38,5494,"PMG Pipa Kazili 12cm",Pipas,87989,"Vaporizador Airis Vertex 2.0 Para Cartridges Cargador Tipo C",7990,https://www.friendlygrow.cl/vaporizador-airis-vertex-20-para-cartridges-cargador-tipo-c?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/70293151/airis_20350mAh_20V2.0_20Battery_20_285_29.jpg?1764595731
2,0.5833,104,1.13,6771,"Pipa silicona llavero de Piece Maker",Pipas,87985,"Vaporizador Airis Vertex 2.0 Para Cartridges Cargador Tipo C",7990,https://www.friendlygrow.cl/vaporizador-airis-vertex-20-para-cartridges-cargador-tipo-c?variant=Blanco,https://cdnx.jumpseller.com/friendly-grow/image/70293147/airis_20350mAh_20V2.0_20Battery_20_283_29.jpg?1764595731
