score,wouldBe,missingStore,category,productId,productName,seedTitle,seedPrice,offerId,offerTitle,offerPrice,offerUrl
0.69,3,fumetas,Contenedores y estuches,7885,"Estuche Ywiwis Gollo - OZeta | PIRANHA","Estuche Ywiwis Gollo - OZeta | PIRANHA",19593,36121,"Ozeta Estuches Ywiwis Anti - Olor - Gollo",27990,https://fumetas.cl/ozeta-estuches-ywiwis-anti-olor?variant=Gollo
0.69,3,growbarato,Papelillos,10283,"Blazy Susan Deluxe Rolling Kit Unbleached 1 1/4","Papelillo Unbleached1 1/4 Deluxe Kit Blazy Susan",2490,11380,"Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached –",1700,https://www.growbaratochile.cl/blazy-susan/blazy-susan-deluxe-kit-king-size-unbleached.html
0.69,3,fumetas,Conos y blunts,10388,"Soulblime Hemp Blunt Wrap Sabores","Hemp Blunt Wrap Sabores SoulBlime",1000,36220,"Blunt Soulblime Hemp Wrap x2 - Cherry",1000,https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Cherry
0.69,3,fumetas,Conos y blunts,10388,"Soulblime Hemp Blunt Wrap Sabores","Hemp Blunt Wrap Sabores SoulBlime",1000,36221,"Blunt Soulblime Hemp Wrap x2 - Chicle",1000,https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Chicle
0.69,3,fumetas,Conos y blunts,10388,"Soulblime Hemp Blunt Wrap Sabores","Hemp Blunt Wrap Sabores SoulBlime",1000,36222,"Blunt Soulblime Hemp Wrap x2 - Chocolate",1000,https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Chocolate
0.69,3,piranha,Repuestos para bongs y vaporizadores,10467,"Focus V Cargador Inalámbrico Carta 2","Focus V Cargador Inalámbrico Carta 2",69990,14380,"Cargador Inalámbrico Focus V Aeris | PIRANHA",75991,https://piranha.cl/inicio/8721/cargador-inalambrico-focus-v-aeris.html
0.69,3,fumetas,Conos y blunts,10542,"Blunt Hemp Wrap Lion Rolling Circus Terpenes Gorila GL","Blunt Wrap Terpenes Gorila GL - Lion Rolling Circus | PIRANH",1386,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
0.69,3,fumetas,Conos y blunts,10542,"Blunt Hemp Wrap Lion Rolling Circus Terpenes Gorila GL","Blunt Wrap Terpenes Gorila GL - Lion Rolling Circus | PIRANH",1386,37570,"LRC Blunt Hemp Wraps Terpenes x2 - Sabores - Gorila GL",1341,https://fumetas.cl/lrc-blunt-hemp-wraps-terpenes-sabor-gelato?variant=Gorila%20GL
0.69,3,fumetas,Conos y blunts,10543,"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH","Blunt Wrap Terpenes KKKSH - Lion Rolling Circus | PIRANHA",1386,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
0.69,3,fumetas,Conos y blunts,10544,"Blunt Hemp Wrap Lion Rolling Circus Terpenes Tangie","Blunt Wrap Terpenes Tangie - Lion Rolling Circus | PIRANHA",1386,20102,"LRC Blunt Hemp Wrap x2 - Sabores",1290,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
