sim;fgOfferId;fgPrecio;fgTitulo;fgCategoria;parOfferId;parTienda;parPrecio;parTitulo;parCategoria;ratio;categoria
0.38;87571;6990;"Vaporizador Brass Knuckles 900mah Cargador Tipo C - Negro";Repuestos para bongs y vaporizadores;56950;astrogrowshop;10990;"Bateria tipo A Brass Knuckle - Negro";Repuestos para bongs y vaporizadores;1.57;misma
0.38;87577;6990;"Vaporizador Brass Knuckles 900mah Cargador Tipo C - Morado";Repuestos para bongs y vaporizadores;56953;astrogrowshop;10990;"Bateria tipo A Brass Knuckle - Morado";Repuestos para bongs y vaporizadores;1.57;misma
0.43;87601;15990;"Vaporizador Airis Quaser Para Extracciones Con Atomizador QCCELL - Negro";Vaporizadores herbales;37498;fumetas;19990;"Vaporizador Airis Quaser - Extractos - Negro";Accesorios de extraccion;1.25;DISTINTA
0.43;87604;15990;"Vaporizador Airis Quaser Para Extracciones Con Atomizador QCCELL - Rojo";Vaporizadores herbales;37500;fumetas;19990;"Vaporizador Airis Quaser - Extractos - Rojo";Accesorios de extraccion;1.25;DISTINTA
0.50;87641;9990;"Contenedor de silicona 110ml";Contenedores y estuches;69073;kushbreak;3990;"Contenedor silicona";Contenedores y estuches;2.50;misma
0.50;88223;10990;"Bong de Silicona Ghostface";Bongs;69073;kushbreak;3990;"Contenedor silicona";Contenedores y estuches;2.75;DISTINTA
0.43;88255;10990;"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Rosa";Bongs;3198;growbarato;5100;"Pipa Silicona Venon | Portátil y resistente";Pipas;2.15;DISTINTA
0.43;88256;10990;"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Blanco";Bongs;3198;growbarato;5100;"Pipa Silicona Venon | Portátil y resistente";Pipas;2.15;DISTINTA
0.43;88258;10990;"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Morado";Bongs;3198;growbarato;5100;"Pipa Silicona Venon | Portátil y resistente";Pipas;2.15;DISTINTA
0.55;88251;990;"Conos Pre-enrolados Honeypuff Pink - King Size Slim (Pack x3)";Conos y blunts;2914;fumetas;2390;"Soulblime 6 Conos Pre-enrolados Pink King Size";Conos y blunts;2.41;misma
0.44;88263;1990;"Set Honeypuff 4-en-1: Papel King Size + Tips + Bandeja + Moledor - Unbleached Brown";Moledores;13664;fumetas;1790;"Papelillos Gizeh Unbleached King Size + Tips";Papelillos;1.11;DISTINTA
0.45;88265;1990;"Set Honeypuff 4-en-1: Papel King Size + Tips + Bandeja + Moledor - Organic Hemp";Moledores;19495;fumetas;3690;"G-Rollz Bio Organic Green Hemp Papelillos King Size+ Tips + Bandeja";Papelillos;1.85;DISTINTA
0.38;88266;1990;"Set Honeypuff 4-en-1: Papel King Size + Tips + Bandeja + Moledor - Ultra Thin Black";Moledores;12622;astrogrowshop;1990;"Papel Ultra Thin King Size Silver- Lion Rolling Circus";Otros parafernalia;1.00;DISTINTA
0.50;88277;4990;"Pipa de Silicona Minimal";Pipas;69073;kushbreak;3990;"Contenedor silicona";Contenedores y estuches;1.25;DISTINTA
0.44;88358;14990;"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Morado";Otros parafernalia;35923;fumetas;13990;"Pulsar Bateria Cartridges 510 Square - Morado";Otros parafernalia;1.07;misma
0.44;88360;14990;"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Negro";Otros parafernalia;37640;fumetas;19990;"Pulsar Batería Cartridges 510 DL - Negro";Otros parafernalia;1.33;misma
0.40;88386;16990;"Vaporizador Doteco Cbs Pro Para Cartridges Rosca 510 - Negro";Otros parafernalia;37253;fumetas;29990;"Pulsar Batería Cartridges 510 DL 2.0 Pro - Negro";Otros parafernalia;1.77;misma
0.40;88037;11490;"Yocan QBC Coil";Accesorios de extraccion;20199;fumetas;9990;"Yocan Falcone QTC Coil";Accesorios de extraccion;1.15;misma
0.43;88260;10990;"🦄 Bong de Silicona Unicornio Resistente, portátil y con estilo - Azul";Bongs;3198;growbarato;5100;"Pipa Silicona Venon | Portátil y resistente";Pipas;2.15;DISTINTA
0.40;88722;990;"Blunt Organic Hemp Wraps Honeypuff Con Filtros - Sabores (Pack x2) - Uva";Filtros y boquillas;19860;fumetas;1990;"Blunt Wraps Hemp x4 - Sabores";Conos y blunts;2.01;DISTINTA
0.40;88724;990;"Blunt Organic Hemp Wraps Honeypuff Con Filtros - Sabores (Pack x2) - Cereza";Filtros y boquillas;19860;fumetas;1990;"Blunt Wraps Hemp x4 - Sabores";Conos y blunts;2.01;DISTINTA
0.50;87509;9900;"Nectar Collector de Silicona Rocket";Accesorios de extraccion;3142;growbarato;21000;"Nectar Collector Bong de Silicona con quemador de vidrio";Accesorios de extraccion;2.12;misma
0.40;88839;17990;"Yocan Cloud 2 Coil";Accesorios de extraccion;20199;fumetas;9990;"Yocan Falcone QTC Coil";Accesorios de extraccion;1.80;misma
0.38;87502;5990;"Nectar Collector Cactus – Dab Straw de Silicona";Accesorios de extraccion;3142;growbarato;21000;"Nectar Collector Bong de Silicona con quemador de vidrio";Accesorios de extraccion;3.51;misma
0.40;88467;5900;"Pipa SIlicona Fantasmita - Blanco";Pipas;33214;astrogrowshop;1290;"Kap Silicona -Pmg - Blanco";Otros parafernalia;4.57;DISTINTA
0.50;88453;590;"Papelillos Honeypuff King Size Slim - Lightly Pink";Papelillos;448;fumetas;3690;"G-Rollz Lightly Dyed Pink Papelillos King Size + Boquillas + Bandeja";Papelillos;6.25;misma
0.40;88458;3990;"Pipa Silicona Clásica - Azul";Pipas;33210;astrogrowshop;1290;"Kap Silicona -Pmg - Azul";Otros parafernalia;3.09;DISTINTA
0.38;88456;590;"Papelillos Honeypuff King Size Slim - Ultra Thin";Papelillos;70914;growbarato;800;"Kema Papelillos King Size Slim + Filtro | Growbarato";Papelillos;1.36;misma
0.44;88454;590;"Papelillos Honeypuff King Size Slim - Unbleached Brown";Papelillos;12270;astrogrowshop;39990;"Papelillo Unbleached King Size Slim 50U-Blazy Susan";Papelillos;67.78;misma
0.36;88568;990;"Blunt Hemp Wraps Honeypuff con Filtros -Honey Grape Ape (Pack x2)";Filtros y boquillas;36712;fumetas;1990;"Blunt Wraps Hemp x4 - Sabores - Grape";Conos y blunts;2.01;DISTINTA
0.40;88468;5900;"Pipa SIlicona Fantasmita - Verde";Pipas;33213;astrogrowshop;1290;"Kap Silicona -Pmg - Verde";Otros parafernalia;4.57;DISTINTA
0.50;88496;4990;"Pipa SIlicona Saw";Pipas;69073;kushbreak;3990;"Contenedor silicona";Contenedores y estuches;1.25;DISTINTA
