offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;candidatos;lastSeenAt;url
33623;fumetas;blazy-susan;Blazy Susan Moledor Contenedor Mini Herb Saver Lila - Checkers;13390;Moledores;12;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/blazy-susan-moledor-contenedor-herb-saver-lila?variant=Checkers
33625;fumetas;blazy-susan;Blazy Susan Moledor Contenedor Mini Herb Saver Rosado - Nugs;13390;Moledores;12;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/blazy-susan-moledor-contenedor-herb-saver?variant=Nugs
33626;fumetas;blazy-susan;Blazy Susan Moledor Contenedor Mini Herb Saver Rosado - Susan;13390;Moledores;12;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/blazy-susan-moledor-contenedor-herb-saver?variant=Susan
34322;fumetas;blazy-susan;Blazy Susan Jockey Dad Hats - Blanco;29990;Otros parafernalia;12;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/blazy-susan-gorra-dad-hats?variant=Blanco
37318;fumetas;blazy-susan;Blazy Susan Polera Rosada - XL;22491;Otros parafernalia;12;(ninguno sobre el umbral);2026-07-10;https://fumetas.cl/blazy-susan-polera-pink?variant=XL
181;astrogrowshop;bonglab;Mallas de Rosin 25/90/120/160 Micras-Bonglab;8990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/malla-rosin-bonglab
436;astrogrowshop;bonglab;Vider Black-Bonglab Re: Stash;7990;Contenedores y estuches;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/vider-black-bonglab-re-stash
731;astrogrowshop;bonglab;ADAPTADOR PYREX HEMBRA A MACHO 18MM- Bonglab;4490;Repuestos para bongs y vaporizadores;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/adaptador-pyrex-hembra-a-macho-18mm-bonglab
761;astrogrowshop;bonglab;Vider Brown-Bonglab Re: Stash;7990;Contenedores y estuches;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/vider-brown-bonglab-re-stash
764;astrogrowshop;bonglab;Jar Electric Green 4Oz-Re: Stash;21990;Contenedores y estuches;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/jar-electric-green-4oz-re-stash
789;astrogrowshop;bonglab;Titanium Screen Grado 1 15Mm 5 Ud-Bonglab;3490;Repuestos para bongs y vaporizadores;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/titanium-screen-grado-1-15mm-5-ud-bonglab
1209;fumetas;bonglab;BongLab 2 Terp Balls Glow In The Dark;3980;Accesorios de extraccion;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-2-terp-balls-glow-in-the-dark
11877;astrogrowshop;bonglab;Difusor 14Mm-Bonglab;3990;Repuestos para bongs y vaporizadores;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/difusor-14mm-bonglab
11932;astrogrowshop;bonglab;Kraken Blue-Bonglab;71990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/kraken-blue-bonglab
12167;astrogrowshop;bonglab;ADAPTADOR MACHO A HEMBRA 14MM- Bonglab;4990;Repuestos para bongs y vaporizadores;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/adaptador-macho-a-hembra-14mm-bonglab
12255;astrogrowshop;bonglab;Mecha de Cañamo Orgánico y cera de avejas 1 Mt-Bonglab;990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/mecha-organica-1-mt-bonglab
12302;astrogrowshop;bonglab;Elty8 Monster Blue-Bonglab;64990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/elty8-monster-blue-bonglab
12312;astrogrowshop;bonglab;MECHA OVILLO CAÑAMO ORGÁNICO 100MT-BONGLAB;24990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/mecha-ovillo-100mt-bonglab
12349;astrogrowshop;bonglab;Classy-Bonglab;43990;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/classy-kd1-bonglab
12449;astrogrowshop;bonglab;Pool Party Pin Ed. Limitada-Bonglab X Hightrip;9990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/pool-party-pin-ed-limitada-bonglab-x-hightrip
12454;astrogrowshop;bonglab;Smoking Board Pin Ed. Limitada-Bonglab X Hightrip;9990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/smoking-board-pin-ed-limitada-bonglab-x-hightrip
12492;astrogrowshop;bonglab;Highping Pin Ed. Limitada-Bonglab X Hightrip;9990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/highping-pin-ed-limitada-bonglab-x-hightrip
12511;astrogrowshop;bonglab;Packs Accesorios Purify 18Mm/Rejilla 19Mm-Bonglab;26470;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/packs-accesorios-purify-18mmrejilla-19mm-bonglab
12614;astrogrowshop;bonglab;K30 -Bonglab;61990;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/k30-bonglab
12621;astrogrowshop;bonglab;Papel Para Rosin Tradicional- Bonglab;7990;Accesorios de extraccion;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/papel-para-rosin-tradicional-bonglab
12624;astrogrowshop;bonglab;R2 -Bonglab;23990;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-12;https://astrogrowshop.cl/r2-bonglab
12649;astrogrowshop;bonglab;Vider White-Bonglab Re: Stash;7990;Contenedores y estuches;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/vider-white-bonglab-re-stash
12842;fumetas;bonglab;Bonglab Quemador - Hembra 14mm 2.0;6990;Repuestos para bongs y vaporizadores;7;P10363:quemador-hembra-14mm(1t sim=0.67 ratio=1.40);2026-07-02;https://fumetas.cl/bonglab-quemador-hembra-14mm-20
13175;fumetas;bonglab;Bonglab Malla De Titanio 15mm - 19mm;3990;Otros parafernalia;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-malla-de-titanio-15mm-19mm
13283;fumetas;bonglab;BongLab Bong R2 Tiny 18cm;23990;Bongs;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-bong-r2-18cm-tinybong
13286;fumetas;bonglab;Bonglab Bong The Sphere 12cm;27990;Bongs;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-bong-the-sphere-12cm
13559;fumetas;bonglab;Bonglab Bong KD1 Classy 29cm;55990;Bongs;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-bong-kd1
17142;astrogrowshop;bonglab;Glass Cleaner Limpiador-Bonglab;2490;Limpieza;17;(ninguno sobre el umbral);2026-07-03;https://astrogrowshop.cl/glass-cleaner-limpiador-bonglab
17165;astrogrowshop;bonglab;Lucky Goblin-Bonglab;28990;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-12;https://astrogrowshop.cl/lucky-goblin-bonglab
17736;astrogrowshop;bonglab;Pack Bong Bonglab Classic Ice KS11;33990;Bongs;17;P10407:glycerin-black-ice(3t sim=0.33 ratio=0.34);2026-06-13;https://astrogrowshop.cl/pack-bong-bonglab-classic-ice-ks11
17737;astrogrowshop;bonglab;Pack Bong Bonglab Little Buchner KS10;33990;Bongs;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/pack-bong-bonglab-little-buchner-ks10
17921;astrogrowshop;bonglab;Space Oddity Clear-Bonglab;79990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/space-oddity-clear-bonglab
17935;astrogrowshop;bonglab;Water Fenix Blue-Bonglab;74990;Vaporizadores herbales;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/water-fenix-blue-bonglab
17984;astrogrowshop;bonglab;Octopus Black-Bonglab;62990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/octopus-black-bonglab
18001;astrogrowshop;bonglab;Summer Pack Pin Ed. Limitada-Bonglab X Hightrip;9990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/summer-pack-pin-ed-limitada-bonglab-x-hightrip
18027;astrogrowshop;bonglab;Glycerin -Bonglab;109990;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/glycerin-bonglab
18042;astrogrowshop;bonglab;Pin -Bonglab;6490;Otros parafernalia;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/pin-bonglab
18112;astrogrowshop;bonglab;Double Circuit Kit Extractos-Bonglab;51990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/double-circuit-kit-extractos-bonglab
18123;astrogrowshop;bonglab;Pack Bong Bonglab Fat Candy;39990;Bongs;17;(ninguno sobre el umbral);2026-06-13;https://astrogrowshop.cl/pack-bong-bonglab-fat-candy
18492;fumetas;bonglab;Bonglab Double Circuit Bong 14 cm Kit Banger + Cap + Terp Balls;53990;Accesorios de extraccion;7;(ninguno sobre el umbral);2026-07-21;https://fumetas.cl/bonglab-double-circuit-bong-banger
19569;fumetas;bonglab;BongLab Malla de prensado;9990;Otros parafernalia;7;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/bonglab-malla-de-prensado
19862;fumetas;bonglab;Bonglab Polera Prisma;21990;Bongs;7;P10108:prisma(2t sim=0.67 ratio=1.28);2026-06-13;https://fumetas.cl/bonglab-polera-prisma
20035;fumetas;bonglab;Pins BongLab;4990;Otros parafernalia;7;P10108:prisma(2t sim=0.33 ratio=0.29);2026-06-13;https://fumetas.cl/pins-bonglab
31565;astrogrowshop;bonglab;R2 -Bonglab - verde;22990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/r2-bonglab?variant=verde
31566;astrogrowshop;bonglab;R2 -Bonglab - Rosa;22990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/r2-bonglab?variant=Rosa
31567;astrogrowshop;bonglab;R2 -Bonglab - Amarillo;22990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/r2-bonglab?variant=Amarillo
31590;astrogrowshop;bonglab;Glass Cleaner Brillo (30ml, 250ml, 500ml) -Bonglab - 250 ml;6990;Limpieza;17;(ninguno sobre el umbral);2026-07-10;https://astrogrowshop.cl/glass-cleaner-brillo-bonglab?variant=250%20ml
31591;astrogrowshop;bonglab;Glass Cleaner Brillo (30ml, 250ml, 500ml) -Bonglab - 500 ml;8990;Limpieza;17;(ninguno sobre el umbral);2026-07-10;https://astrogrowshop.cl/glass-cleaner-brillo-bonglab?variant=500%20ml
31631;astrogrowshop;bonglab;Dream Rig-Bonglab - azul;24990;Bongs;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/dream-rig-bonglab?variant=azul
31632;astrogrowshop;bonglab;Dream Rig-Bonglab - verde;24990;Bongs;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/dream-rig-bonglab?variant=verde
31633;astrogrowshop;bonglab;Dream Rig-Bonglab - Rosa;24990;Bongs;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/dream-rig-bonglab?variant=Rosa
31675;astrogrowshop;bonglab;Lucky Goblin-Bonglab - Negro Humo;27990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Negro%20Humo
31677;astrogrowshop;bonglab;Lucky Goblin-Bonglab - Rosa;27990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Rosa
31678;astrogrowshop;bonglab;Lucky Goblin-Bonglab - Blanco;27990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Blanco
32316;astrogrowshop;bonglab;Classy-Bonglab - azul;41990;Otros parafernalia;17;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/classy-kd1-bonglab?variant=azul
