sim,dist,missingStore,productId,productName,category,seedOfferId,seedTitle,seedPrice,offerId,offerTitle,offerPrice,priceRatio,inStock,textScore,seenInTextSweep,offerUrl,offerImage
0.741,187,kushbreak,5502,"Moledor Galaxy New Pro Model 6cm 4 Partes | PIRANHA","Moledores",140,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium",28000,69239,"Hydra Cali Crusher®",89990,3.21,0,0,0,https://www.kushbreak.cl/hydra-cali-crusher-pipa-bubbler-hitter,https://cdnx.jumpseller.com/kushbreak-growshop/image/5402406/Hydra_Calicrusher_Bubbler_pipa_hitter_azul.png?1679515247
0.7404,200,kushbreak,10240,"Gas Butano 300Ml-Zengaz","Encendedores y sopletes",11547,"Gas Butano Zengaz con 99,9% de pureza",3200,69010,"RYOT Hitter de Aluminio Anodizado",9990,3.12,1,0,1,https://www.kushbreak.cl/ryot-hitter-aluminio-anonizado,https://cdnx.jumpseller.com/kushbreak-growshop/image/51639911/ryot-hitter-aluminio-anodizado__1_.jpg?1723667822
0.7398,147,kushbreak,10549,"Tabaquera Soulblime","Otros parafernalia",37291,"Tabaquera Soulblime de Tela - Diseños - Negro",8390,69018,"Boquilla Piece maker Krutch",2990,2.81,1,0,0,https://www.kushbreak.cl/piece-maker-karma-pipa-silicona,https://cdnx.jumpseller.com/kushbreak-growshop/image/23994898/Krutch_piece_maker_gear_pmg_boquilla_tip_silicona.png?1679515240
0.7386,163,kushbreak,5339,"Bong Bubbler Kush","Bongs",2255,"Bong de vidrio Bubbler Kush de Bonglab- GB The Green Brand",66000,69289,"Dabber Acero doble punta",5990,11.02,1,0,1,https://www.kushbreak.cl/dabber-acero-extracciones-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/47762157/dabber-beterp2.jpg?1713378814
0.7371,176,kushbreak,5748,"Quemador Perla 18mm Calvo Glass - GB The Green Brand","Repuestos para bongs y vaporizadores",1369,"Quemador Perla 18mm Calvo Glass - GB The Green Brand",6200,69322,"Pipa Steamroller Cali Crusher®",19990,3.22,0,0,0,https://www.kushbreak.cl/pipa-steamroller-cali-crusher-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553168/Cali-crusher-steamroller-black-600x600.png?1679515200
0.7356,129,kushbreak,10083,"OCB Premium 1.1/4 + Tips","Papelillos",311,"OCB Premium 1.1/4 + Tips",1800,69314,"Khemo Tips",850,2.12,1,0,0,https://www.kushbreak.cl/khemo-tips-silver,https://cdnx.jumpseller.com/kushbreak-growshop/image/5545822/Khemo_tips_silver.png?1679515248
0.7338,183,kushbreak,10703,"Filtro de Carbón Activado Kasvi 100x300mm","Filtros y boquillas",11414,"Filtro de Carbón Activado Kasvi 100x300 ➤ Control olores cul",53200,68962,"Santa Cruz Shredder Medium",74990,1.41,1,0,0,https://www.kushbreak.cl/santa-cruz-shredder-medium-moledor-grinder,https://cdnx.jumpseller.com/kushbreak-growshop/image/20248119/Moledor_Santa_Cruz_Shredder_Medium_4_piezas_grinder_black.png?1747953009
0.7321,181,kushbreak,10289,"Calvo Glass Bong Monster 42cm","Bongs",13303,"Calvo Glass Bong Monster 42cm",60891,69150,"Vaporizador Arizer Air Max",249990,4.11,1,0,0,https://www.kushbreak.cl/vaporizador-arizer-air-max-hierbas-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/63699388/vaporizador-arizer-air-max__1_.jpg?1747955314
0.7311,189,kushbreak,5768,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc","Accesorios de extraccion",1389,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc",7200,69122,"3 Conos Empire rolling papers",4990,1.44,1,0,0,https://www.kushbreak.cl/3-papelillos-conos-empire-rolling-papers-billete-100-dolares,https://cdnx.jumpseller.com/kushbreak-growshop/image/21536479/Pack_3_conos_Empire_rolling_papers_papelillos_pre_enrolados_billete_100_dolares.png?1679515238
0.7298,154,kushbreak,5464,"Papelillo RAW Classic Black 1 1/4 | PIRANHA","Papelillos",1427,"Papelillos RAW Black 1.1/4 para Liar Cannabis - GB The Green",1000,69314,"Khemo Tips",850,1.18,1,0,0,https://www.kushbreak.cl/khemo-tips-silver,https://cdnx.jumpseller.com/kushbreak-growshop/image/5545822/Khemo_tips_silver.png?1679515248
0.7273,179,kushbreak,10338,"Piedra Humidificadora RAW","Otros parafernalia",11121,"Piedra Humidificadora RAW",1990,69105,"Grav Pebble spoon",19990,10.05,0,0,0,https://www.kushbreak.cl/grav-pebble-spoon-pipa-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/10971398/Grav_pebble_spoon_pipa_vidrio_amber.png?1679515256
0.7267,168,kushbreak,5525,"Dream Rig-Bonglab","Bongs",11374,"Dream Rig Bonglab Pyrex | Bong Recycler Compacto Chile",23400,69150,"Vaporizador Arizer Air Max",249990,10.68,1,0,0,https://www.kushbreak.cl/vaporizador-arizer-air-max-hierbas-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/63699388/vaporizador-arizer-air-max__1_.jpg?1747955314
0.7265,194,kushbreak,10343,"Soporte Celular Soulblime | PIRANHA","Otros parafernalia",12384,"Soporte Para Celular Diseños Surtidos 1Ud-Soulblime",1290,69131,"Contenedor para caños tipo Tubo - Soulblime",1290,1,1,0.36,0,https://www.kushbreak.cl/contenedor-para-canos-tipo-tubo-soulblime,https://cdnx.jumpseller.com/kushbreak-growshop/image/32595237/gsc_116654623_1574950_1.jfif?1679515268
0.7241,181,kushbreak,9245,"Mighty +","Vaporizadores herbales",1433,"Mighty Plus Storz & Bickel Negro",387000,69191,"Vaporizador Davinci IQ",209990,1.84,0,0,0,https://www.kushbreak.cl/vaporizador-davinci-iq-portable-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/2555874/IQ-2.png?1679515226
0.7238,187,kushbreak,6772,"Pipa De Mano Heavy Gear","Pipas",1278,"Cabo Pipa Heavy Gear Black 20mm",11990,69213,"OZeta Case XL",40990,3.42,1,0,0,https://www.kushbreak.cl/ozeta-case-cilindrico-xl,https://cdnx.jumpseller.com/kushbreak-growshop/image/58023316/case-logo-grande-1-600x600.jpg?1733339010
0.7228,193,kushbreak,6772,"Pipa De Mano Heavy Gear","Pipas",1278,"Cabo Pipa Heavy Gear Black 20mm",11990,69188,"Blazer Insert Top-Z",19990,1.67,0,0,0,https://www.kushbreak.cl/soplete-insert-top-z-blazer,https://cdnx.jumpseller.com/kushbreak-growshop/image/12658329/Soplete_insert_Top-Z_blazer.png?1679515257
0.721,177,kushbreak,5502,"Moledor Galaxy New Pro Model 6cm 4 Partes | PIRANHA","Moledores",140,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium",28000,68958,"Pulsar Moledor y Contenedor Aluminio 50mm",33990,1.21,0,0,0,https://www.kushbreak.cl/pulsar-moledor-y-contenedor-aluminio-50mm,https://cdnx.jumpseller.com/kushbreak-growshop/image/58193703/pulsar-moledor-y-contenedor-de-aluminio__1_.jpg?1733859382
0.7205,195,kushbreak,10066,"Blazy Susan papelillos king size purple – Papeles de enrolar","Papelillos",1436,"Blazy Susan papelillos king size purple – Papeles de enrolar",400,69205,"RAW caja metálica",6990,17.48,1,0,1,https://www.kushbreak.cl/caja-metalica-raw-contenedor,https://cdnx.jumpseller.com/kushbreak-growshop/image/8498997/RAW_caja_metalica_contenedor_cannabis.png?1679515252
0.7202,199,kushbreak,10066,"Blazy Susan papelillos king size purple – Papeles de enrolar","Papelillos",1436,"Blazy Susan papelillos king size purple – Papeles de enrolar",400,69020,"Smoking Papelillos Deluxe 1 1/4 + Tips",1500,3.75,1,0,1,https://www.kushbreak.cl/smoking-papelillos-deluxe-tips,https://cdnx.jumpseller.com/kushbreak-growshop/image/47057797/smoking-papelillo-1-14-deluxe-filtros.jpg?1711570881
0.72,162,kushbreak,10083,"OCB Premium 1.1/4 + Tips","Papelillos",311,"OCB Premium 1.1/4 + Tips",1800,69122,"3 Conos Empire rolling papers",4990,2.77,1,0,0,https://www.kushbreak.cl/3-papelillos-conos-empire-rolling-papers-billete-100-dolares,https://cdnx.jumpseller.com/kushbreak-growshop/image/21536479/Pack_3_conos_Empire_rolling_papers_papelillos_pre_enrolados_billete_100_dolares.png?1679515238
0.72,187,kushbreak,5356,"Moledor Galaxy Aluminio 7cm 4 Partes | PIRANHA","Moledores",139,"Moledor Galaxy 73 mm - Grinder de Aluminio con Tamiz y Compa",27100,69322,"Pipa Steamroller Cali Crusher®",19990,1.36,0,0,0,https://www.kushbreak.cl/pipa-steamroller-cali-crusher-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553168/Cali-crusher-steamroller-black-600x600.png?1679515200
0.72,193,kushbreak,10338,"Piedra Humidificadora RAW","Otros parafernalia",3217,"Piedra Humidificadora RAW",1800,69148,"RYOT SmellSafe HeadCase Black",28990,16.11,0,0,0,https://www.kushbreak.cl/ryot-smellsafe-headcase-black-bolso-estuche,https://cdnx.jumpseller.com/kushbreak-growshop/image/6987208/RYOT_SmellSafe_HeadCase_black_estuche_bolso.png?1679515250
0.7176,199,kushbreak,10331,"Bencina 125mL Zippo","Encendedores y sopletes",1372,"Bencina 125 ml Zippo – Combustible Original para Encendedore",4900,69096,"Blazer Big Shot",89990,18.37,0,0,1,https://www.kushbreak.cl/blazer-big-shoot-soplete-butano-recargable-rosin,https://cdnx.jumpseller.com/kushbreak-growshop/image/6028011/Blazer_soplete_big_shot_soplete_rosin.png?1679515249
0.7173,184,kushbreak,5768,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc","Accesorios de extraccion",1389,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc",7200,69239,"Hydra Cali Crusher®",89990,12.5,0,0,0,https://www.kushbreak.cl/hydra-cali-crusher-pipa-bubbler-hitter,https://cdnx.jumpseller.com/kushbreak-growshop/image/5402406/Hydra_Calicrusher_Bubbler_pipa_hitter_azul.png?1679515247
0.7167,189,kushbreak,10203,"Quemador Abeja Calvo Glass Macho 14mm | Bowl de Borosilicato","Repuestos para bongs y vaporizadores",11434,"Quemador Abeja Calvo Glass Macho 14mm | Bowl de Borosilicato",8100,69006,"Encendedor Clipper®",1000,8.1,1,0,0,https://www.kushbreak.cl/encendedor-clipper-raw-black-recagable-butano,https://cdnx.jumpseller.com/kushbreak-growshop/image/21763564/Encendedor_Clipper_RAW_black_recargable_butano.png?1679515257
0.7165,158,kushbreak,10528,"Sploofy Pro Filtro de Aire Personal","Filtros y boquillas",17913,"Pro Filtro De Humo Personal Red Sploofy",34990,69087,"Tightvac® 0,12L Contenedor",11990,2.92,1,0,0,https://www.kushbreak.cl/contenedor-tightvac-012l-vacio-hermetico,https://cdnx.jumpseller.com/kushbreak-growshop/image/2567723/tv012.jpg?1679515229
0.7153,185,kushbreak,10240,"Gas Butano 300Ml-Zengaz","Encendedores y sopletes",14031,"Gas Butano Zengaz 300mL",4990,69147,"Quemador 18mm macho",5990,1.2,1,0,1,https://www.kushbreak.cl/quemador-18mm-macho,https://cdnx.jumpseller.com/kushbreak-growshop/image/36976113/quemador-macho-18mm.jpg?1687983210
0.7152,180,kushbreak,10240,"Gas Butano 300Ml-Zengaz","Encendedores y sopletes",11547,"Gas Butano Zengaz con 99,9% de pureza",3200,69018,"Boquilla Piece maker Krutch",2990,1.07,1,0,0,https://www.kushbreak.cl/piece-maker-karma-pipa-silicona,https://cdnx.jumpseller.com/kushbreak-growshop/image/23994898/Krutch_piece_maker_gear_pmg_boquilla_tip_silicona.png?1679515240
0.7147,136,kushbreak,10406,"DynaVap The UniDyn","Vaporizadores herbales",18547,"Dynavap Vaporizador Unidyn",159990,69110,"Limpiador Bong Cleaner 250ml - PEC",6990,22.89,1,0,0,https://www.kushbreak.cl/limpiador-bong-cleaner-250ml,https://cdnx.jumpseller.com/kushbreak-growshop/image/48811532/d573a568-d380-43c0-a667-ddb0b8cdb7e7-removebg.png?1715791995
0.7137,198,kushbreak,5356,"Moledor Galaxy Aluminio 7cm 4 Partes | PIRANHA","Moledores",829,"Moledor Galaxy Aluminio 7cm 4 Partes | PIRANHA",24892,69191,"Vaporizador Davinci IQ",209990,8.44,0,0,0,https://www.kushbreak.cl/vaporizador-davinci-iq-portable-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/2555874/IQ-2.png?1679515226
0.7124,191,kushbreak,10172,"Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papel","Papelillos",15772,"Papelillos Roll 8m Blazy Susan Kit Purple | PIRANHA",2490,69015,"Futurola x Mike Tyson Papelillos 1 1/4 + Tips",2000,1.25,1,0,0,https://www.kushbreak.cl/futurola-mike-tyson-papelillos-tips,https://cdnx.jumpseller.com/kushbreak-growshop/image/47057539/Futurola_x_Myke_Tyson_Papelillos_1_14___Tips_2.jpg?1711570523
0.7123,191,kushbreak,10338,"Piedra Humidificadora RAW","Otros parafernalia",3217,"Piedra Humidificadora RAW",1800,69122,"3 Conos Empire rolling papers",4990,2.77,1,0,0,https://www.kushbreak.cl/3-papelillos-conos-empire-rolling-papers-billete-100-dolares,https://cdnx.jumpseller.com/kushbreak-growshop/image/21536479/Pack_3_conos_Empire_rolling_papers_papelillos_pre_enrolados_billete_100_dolares.png?1679515238
0.7115,193,kushbreak,5768,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc","Accesorios de extraccion",1389,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracc",7200,69277,"Soplete Portátil",3990,1.8,1,0,1,https://www.kushbreak.cl/soplete-pequeno-portatil-cannabis-torch,https://cdnx.jumpseller.com/kushbreak-growshop/image/35347718/Soplete_encendedor_portatil_metalizado_recargable_gas_butano.png?1684356862
0.711,168,kushbreak,5502,"Moledor Galaxy New Pro Model 6cm 4 Partes | PIRANHA","Moledores",140,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium",28000,69153,"Vaporizador Davinci Miqro",159990,5.71,1,0,0,https://www.kushbreak.cl/vaporizador-davinci-miqro-standar-explorer-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/5365195/Davinci_Miqro_vaporizador_cannabis.png?1679515246
0.711,197,kushbreak,10172,"Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papel","Papelillos",15772,"Papelillos Roll 8m Blazy Susan Kit Purple | PIRANHA",2490,69101,"Contenedor metálico con tapa - Soulblime",1990,1.25,0,0,0,https://www.kushbreak.cl/contenedor-metalico-con-tapa-soulblime,https://cdnx.jumpseller.com/kushbreak-growshop/image/32596430/caja-soulblime.png?1679515268
0.709,185,kushbreak,10331,"Bencina 125mL Zippo","Encendedores y sopletes",1372,"Bencina 125 ml Zippo – Combustible Original para Encendedore",4900,69324,"Pulsar 510 DL - Batería Cartridge",19990,4.08,1,0,0,https://www.kushbreak.cl/pulsar-510-dl-bateria-cartridge,https://cdnx.jumpseller.com/kushbreak-growshop/image/58331667/pulsar-510-dl.jpg?1734108794
0.7062,186,kushbreak,10508,"Weecke Vaporizador Fenix Mini Plus","Vaporizadores herbales",17814,"Vaporizador Hierba Fenix Mini Plus- Weecke",113990,69052,"Vaporizador Davinci IQ2",249990,2.19,0,0,0,https://www.kushbreak.cl/vaporizador-davinci-iq-2-cannabis-medicinal,https://cdnx.jumpseller.com/kushbreak-growshop/image/23156619/Vaporizador_Da_vinci_IQ_2_cannabis_medicinal.png?1679515266
0.7025,179,kushbreak,10146,"Papelillo Slim Ultimate King Size- Ocb","Papelillos",317,"OCB Slim Ultimate de origen orgánico",1500,69322,"Pipa Steamroller Cali Crusher®",19990,13.33,0,0,0,https://www.kushbreak.cl/pipa-steamroller-cali-crusher-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553168/Cali-crusher-steamroller-black-600x600.png?1679515200
0.7012,192,kushbreak,5741,"Vaporizador Crafty+ Plus","Vaporizadores herbales",16083,"Vaporizador Crafty - STORZ & BICKEL",257591,69026,"Ryot 420 Kit Todo En 1",12990,19.83,1,0,0,https://www.kushbreak.cl/ryot-420-kit-todo-1,https://cdnx.jumpseller.com/kushbreak-growshop/image/51640336/ryot-420-kit-todo-en-1__1_.jpg?1723668946
0.7008,137,kushbreak,5737,"Vaporizador Dynavap M 7 - Regular","Vaporizadores herbales",2035,"Vaporizador Mecánico Dynavap M7",89990,69203,"Bong Mamba",69990,1.29,0,0,0,https://www.kushbreak.cl/bong-vidrio-mamba-natural-glass,https://cdnx.jumpseller.com/kushbreak-growshop/image/3501196/Mamba-Teal.png?1679515179
0.7006,191,kushbreak,10331,"Bencina 125mL Zippo","Encendedores y sopletes",15838,"Bencina 125mL Zippo",5990,69260,"Encendedor Ronson",690,8.68,1,0,0,https://www.kushbreak.cl/encendedor-ronson,https://cdnx.jumpseller.com/kushbreak-growshop/image/52293394/ronson-rosado.png?1724880243
0.7005,170,kushbreak,10146,"Papelillo Slim Ultimate King Size- Ocb","Papelillos",317,"OCB Slim Ultimate de origen orgánico",1500,69092,"Pipa de Silicona PMG Kazili",9990,6.66,0,0,0,https://www.kushbreak.cl/pipa-de-silicona-pmg-kazili-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/29385371/Pipa_silicona_PMG_Kazili_cannabis.png?1679515267
0.7001,182,kushbreak,5746,"Quemador Honeycomb Macho 14Mm","Repuestos para bongs y vaporizadores",2580,"Quemador Honeycomb Macho 14Mm",4990,69110,"Limpiador Bong Cleaner 250ml - PEC",6990,1.4,1,0.06,0,https://www.kushbreak.cl/limpiador-bong-cleaner-250ml,https://cdnx.jumpseller.com/kushbreak-growshop/image/48811532/d573a568-d380-43c0-a667-ddb0b8cdb7e7-removebg.png?1715791995
0.6999,191,kushbreak,10099,"Volcano Hybrid Storz & Bickel - GB The Green Brand","Vaporizadores herbales",11062,"Vaporizador Volcano Hybrid (Color a elección)",539991,69105,"Grav Pebble spoon",19990,27.01,0,0,0,https://www.kushbreak.cl/grav-pebble-spoon-pipa-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/10971398/Grav_pebble_spoon_pipa_vidrio_amber.png?1679515256
0.6995,137,kushbreak,5339,"Bong Bubbler Kush","Bongs",2255,"Bong de vidrio Bubbler Kush de Bonglab- GB The Green Brand",66000,69336,"Puffco Plus 2023",99990,1.51,1,0,1,https://www.kushbreak.cl/puffco-plus-vaporizador-extracciones-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/63699160/puffco-plus-v2__1_.jpg?1747954719
0.6985,177,kushbreak,10718,"Bonglab Atrapa Cenizas Slits Macho 18mm 90°","Repuestos para bongs y vaporizadores",12214,"Atrapa Ceniza Perc 18Mm -Bonglab",29990,69116,"Pulsar Nectar Collector Borosilicato Colores 25cm.",12990,2.31,1,0,0,https://www.kushbreak.cl/pulsar-nectar-collector-25cm-copiar,https://cdnx.jumpseller.com/kushbreak-growshop/image/51638267/pulsar-nectar-collector-dab-straw__4_.jpg?1723664149
0.6976,188,kushbreak,10082,"Moledor Galaxy Ceramics 60mm - GB The Green Brand","Moledores",4626,"Moledor Galaxy Cerámico 60mm",31990,69191,"Vaporizador Davinci IQ",209990,6.56,0,0,0,https://www.kushbreak.cl/vaporizador-davinci-iq-portable-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/2555874/IQ-2.png?1679515226
0.6961,180,kushbreak,9245,"Mighty +","Vaporizadores herbales",495,"Mighty +",375991,69018,"Boquilla Piece maker Krutch",2990,125.75,1,0,0,https://www.kushbreak.cl/piece-maker-karma-pipa-silicona,https://cdnx.jumpseller.com/kushbreak-growshop/image/23994898/Krutch_piece_maker_gear_pmg_boquilla_tip_silicona.png?1679515240
0.6937,182,kushbreak,10338,"Piedra Humidificadora RAW","Otros parafernalia",3217,"Piedra Humidificadora RAW",1800,69314,"Khemo Tips",850,2.12,1,0,0,https://www.kushbreak.cl/khemo-tips-silver,https://cdnx.jumpseller.com/kushbreak-growshop/image/5545822/Khemo_tips_silver.png?1679515248
0.6899,152,kushbreak,5525,"Dream Rig-Bonglab","Bongs",11374,"Dream Rig Bonglab Pyrex | Bong Recycler Compacto Chile",23400,69336,"Puffco Plus 2023",99990,4.27,1,0,1,https://www.kushbreak.cl/puffco-plus-vaporizador-extracciones-cannabis,https://cdnx.jumpseller.com/kushbreak-growshop/image/63699160/puffco-plus-v2__1_.jpg?1747954719
0.6873,198,kushbreak,5356,"Moledor Galaxy Aluminio 7cm 4 Partes | PIRANHA","Moledores",4424,"Moledor 73MM -Galaxy",31990,69338,"Kit limpieza Dab cleaner",6990,4.58,1,0,0,https://www.kushbreak.cl/kit-limpieza-dab-cleaner,https://cdnx.jumpseller.com/kushbreak-growshop/image/7412136/dab_cleaner_bolsa_kit_limpieza_bong_pipa.png?1679515252
0.6869,191,kushbreak,10181,"Blazy Susan Deluxe Rolling Kit Pink King Size","Papelillos",728,"Papelillo Pink King Size Slim Deluxe Kit 1U-Blazy Susan",2490,69101,"Contenedor metálico con tapa - Soulblime",1990,1.25,0,0,0,https://www.kushbreak.cl/contenedor-metalico-con-tapa-soulblime,https://cdnx.jumpseller.com/kushbreak-growshop/image/32596430/caja-soulblime.png?1679515268
