brandKey;offerId;offerTitle;offerPrice;productId;productName;tiendasProducto;precioMinProducto;ratio;offerUrl
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10374;"Calvo Glass Bong Essential 22cm";2;22743;2.28;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10375;"Calvo Glass Difusor Premium 14mm";2;6951;1.44;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10380;"Calvo Glass Poison Rig Lite 19cm";2;28800;2.88;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10409;"Calvo Glass Double Skull Rig";2;24300;2.43;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10423;"Calvo Glass Rig Dragon Ball Z";2;31491;3.15;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10484;"Calvo Glass Eye Sun Rig 25cm";2;42990;4.3;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10404;"Calvo Glass Flat Bucket Banger 45° Macho 10mm";2;7990;1.25;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10555;"Calvo Glass Insert Fondo Blanco";2;5990;1.67;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10713;"Calvo Glass Double Fungus Rig 28cm";2;32181;3.22;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10535;"Calvo Glass Phantom Rig 22cm";2;44990;4.5;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;11043;"Calvo Glass Flat Bucket Banger 90° Macho 10mm";2;7990;1.25;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
calvo;69223;"Repuesto Difusor CALVO GLASS";9990;10106;"Calvo Glass Banger Full Weld Regular Macho 10mm";2;7990;1.25;"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
