avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
34,Accesorios de extraccion,1,0,44,42,61,4,1,14,72
24,Bandejas y ceniceros,0,0,45,60,51,5,4,11,88
22,Bongs,7,0,161,69,169,33,20,88,95
117,Conos y blunts,0,3,67,803,75,13,11,39,89
165,Contenedores y estuches,5,4,65,971,85,12,7,37,76
20,Encendedores y sopletes,2,0,98,61,100,8,4,66,98
49,Filtros y boquillas,0,1,61,98,62,7,3,18,98
0,Limpieza,0,0,13,0,13,0,0,0,100
27,Moledores,2,1,176,95,242,20,9,58,73
25,Otros parafernalia,0,0,17,49,36,3,2,7,47
475,Papelillos,8,10,147,5524,173,27,9,116,85
30,Pipas,0,1,151,100,217,10,7,34,70
48,Repuestos para bongs y vaporizadores,2,3,75,325,113,19,14,52,66
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
19,Vaporizadores herbales,0,0,34,52,36,10,5,25,94
