type,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
brand-repeated-in-slug,5836,Soulblime Conos Pre-enrolados Blancos 1 1/4,Conos y blunts,Soulblime,soulblime,soulblime-pre-roll-blancos-1-1-4,soulblime-pre-roll-blancos-1-1-4,/productos/soulblime/soulblime-pre-roll-blancos-1-1-4,2,2,Astro Growshop | Fumetas,1790,1790,0,Astro Growshop,Astro Growshop,true,true,2026-05-09T05:57:39.262Z,Conos 1 1/4 1UD-Soulblime | Soulblime 6 Conos Pre-enrolados Blancos 1 1/4
brand-repeated-in-slug,5928,Papelillos RAW Artesano 1 1/4,Papelillos,RAW,raw,paper-raw-artesano-1-1-4,paper-raw-artesano-1-1-4,/productos/raw/paper-raw-artesano-1-1-4,2,2,Fumetas | Piranha,2290,2290,0,Fumetas,Fumetas,true,true,2026-05-18T06:55:49.471Z,Papelillos RAW Artesano 1 1/4 | Papelillos RAW Artesano 1 1/4
high-spread,5458,Papelillos Raw Classic 1 1/4,Papelillos,RAW,raw,paper-1-1-4-1-1-4,classic,/productos/raw/classic,17,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,800,44990,5524,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T07:08:11.001Z,RAW Classic 1.1/4 producto de la marca RAW | Papelillos Raw Classic 1 1/4 | Papelillos RAW Classic 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1 Ud-Raw | Papelillo RAW Cañamo Orgánico 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1Ud-Raw | Papelillos Raw Connoisseur 1 1/4 + Tips | Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | PORTA PAPELILLOS METALICOS 1 1/4- RAW | Porta Papelillo RAW Metálico 1 1/4 | Porta Papelillo RAW 1 1/4 | Papelillos Raw Connoisseur 1 1/4 + Pre Rolled Tips | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA | Porta Papelillo RAW Black 1 1/4 | PAPELILLOS BLACK CONNOISSEUR CON TIPS 1 1/4 24U-RAW | PAPELILLOS ARTESANO 1 1/4 15U-RAW | PAPELILLOS CONNOISSEUR + TIPS PREENROLADOS 1 1/4 24U-RAW
high-spread,5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,paper-classic-king-size-slim-king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,990,49990,4949,Fumetas,Astro Growshop,true,true,2026-05-18T07:08:18.020Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA | Papelillos Classic King Size Slim 50 Ud-Raw"
high-spread,5818,Cajita Met�lica RAW para Pre-Enrolados 1 1/4,Contenedores y estuches,RAW,raw,contenedores-1-1-4-1-1-4,cajita-metalica-1-1-4,/productos/raw/cajita-metalica-1-1-4,6,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1400,14990,971,GrowBarato Chile,Fumetas,true,true,2026-05-18T06:55:37.892Z,RAW Porta Papeles de 1.1/4 caja metálica | Cajita Metálica RAW para Pre-Enrolados (1 1/4/King Size) | PIRANHA | CAJITA METALICA PARA PREENROLADOS 1 1/4-RAW | Raw Cajita Metálica para Pre-Enrolados 1 1/4 | Set Cajita Metálica RAW Starter Box 1 1/4 | PIRANHA | Kit Cajita Metalica RAW Starter Box 1 1/4
high-spread,5707,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Purple | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,pre-roll-purple-1-1-4-6u,pre-roll-purple-1-1-4-6u,/productos/blazy-susan/pre-roll-purple-1-1-4-6u,3,2,Fumetas | Piranha,2990,26991,803,Piranha,Fumetas,true,true,2026-05-18T06:55:36.682Z,Conos Pre-Enrolados Blazy Susan 1 1/4 6u Purple | PIRANHA | Blazy Susan Conos Pre-enrolados Purple 1 1/4 6 uds. | Blazy Susan Conos Pre-enrolados Purple 1 1/4 50 uds.
high-spread,5760,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB,Contenedores y estuches,BONGLAB,bonglab,extract-container-extracts-4ml,extract-container-extracts-4ml,/productos/bonglab/extract-container-extracts-4ml,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,2990,22500,653,Astro Growshop,GrowBarato Chile,true,true,2026-05-09T06:06:19.066Z,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB | Contenedor Extracciónes 4mL (Tapa Blanca/Tapa Negra) - BongLab | PIRANHA | Bonglab Contenedor De Extractos 4ml | Mason Re: Stash Jar de Bonglab de vidrio
high-spread,5413,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,9,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,400,2490,523,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T07:08:08.437Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Papelillo Purple King Size Slim -Blazy Susan | Blazy Susan Papelillos King Size Purple | Papelillo King Size Slim Blazy Susan Purple | PIRANHA | Papelillo Purple King Size Slim Deluxe Kit 1U-Blazy Susan | Papelillo King Size Slim Blazy Susan Deluxe Kit Rosado – Papeles de Enrolar Premium | Papelillo King Size Slim Blazy Susan Deluxe Kit Purple – Papeles de enrolar premium | Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural | Papelillo Pink King Size Slim Deluxe Kit 1U-Blazy Susan
high-spread,5459,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,paper-1-1-4-1-1-4,pink,/productos/blazy-susan/pink,4,3,Astro Growshop | Fumetas | Piranha,490,2490,408,Astro Growshop,Astro Growshop,true,true,2026-05-18T07:03:43.992Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Blazy Susan Papelillos Pink 1 1/4 | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA | Papelillo Purple 1 1/4 Deluxe Kit 1Und-Blazy Susan
high-spread,5756,Unidad De Enfriamiento Crafty-Storz &amp; Bickel,Repuestos para bongs y vaporizadores,STORZ & BICKEL,storz-bickel,cooling-unit-crafty,cooling-unit-crafty,/productos/storz-bickel/cooling-unit-crafty,3,2,Astro Growshop | Fumetas,19990,84990,325,Astro Growshop,Astro Growshop,true,true,2026-05-18T06:55:38.736Z,Unidad De Enfriamiento Crafty-Storz &amp; Bickel | Storz &amp; Bickel Unidad de enfriamiento Crafty | Unidad De Enfriamiento Crafty Pack 3Uds-Storz &amp; Bickel
