avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
34,Accesorios de extraccion,1,0,12,42,61,4,1,12,20
24,Bandejas y ceniceros,0,0,11,60,51,5,4,11,22
22,Bongs,7,1,79,81,169,28,15,77,47
18,Conos y blunts,0,0,26,36,75,11,10,24,35
18,Contenedores y estuches,0,0,29,54,85,12,8,29,34
23,Encendedores y sopletes,2,0,65,61,100,7,3,64,65
49,Filtros y boquillas,0,1,16,98,62,7,5,16,26
0,Limpieza,0,0,5,0,13,0,0,0,38
21,Moledores,2,0,44,33,213,11,3,35,21
25,Otros parafernalia,0,0,7,49,36,3,2,7,19
47,Papelillos,7,3,66,148,173,20,4,64,38
33,Pipas,0,1,22,100,146,6,5,19,15
24,Repuestos para bongs y vaporizadores,0,1,32,80,112,13,9,31,29
0,Vaporizadores electronicos,0,0,2,0,4,0,0,0,50
19,Vaporizadores herbales,0,0,17,52,36,6,4,14,47
