avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
39,Accesorios de extraccion,1,1,55,110,82,7,5,19,67
18,Bandejas y ceniceros,0,0,46,50,56,5,5,10,82
23,Bongs,7,0,161,67,231,31,18,83,70
26,Conos y blunts,0,0,77,68,86,13,13,33,90
19,Contenedores y estuches,4,0,90,50,118,12,7,38,76
15,Encendedores y sopletes,2,0,93,33,109,9,5,69,85
45,Filtros y boquillas,0,1,55,98,82,8,5,19,67
100,Limpieza,0,1,13,100,20,1,1,3,65
27,Moledores,2,3,122,134,248,25,19,61,49
25,Otros parafernalia,0,0,11,49,49,3,2,7,22
237,Papelillos,8,4,116,4949,208,26,10,80,56
19,Pipas,0,0,129,37,275,10,8,28,47
43,Repuestos para bongs y vaporizadores,3,4,100,234,157,22,16,58,64
0,Vaporizadores electronicos,0,0,4,0,7,0,0,0,57
11,Vaporizadores herbales,0,0,31,36,45,9,6,21,69
