avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
43,Accesorios de extraccion,0,1,53,110,80,7,6,17,66
18,Bandejas y ceniceros,0,0,46,50,56,5,5,10,82
23,Bongs,7,0,161,67,231,31,18,83,70
26,Conos y blunts,0,0,77,68,86,13,13,33,90
24,Contenedores y estuches,2,0,88,50,116,12,7,36,76
16,Encendedores y sopletes,1,0,91,33,107,9,6,67,85
45,Filtros y boquillas,0,1,55,98,82,8,5,19,67
100,Limpieza,0,1,13,100,20,1,1,3,65
29,Moledores,0,3,120,134,246,25,19,59,49
25,Otros parafernalia,0,0,11,49,49,3,2,7,22
239,Papelillos,6,4,112,4949,204,26,12,76,55
19,Pipas,0,0,129,37,275,10,8,28,47
43,Repuestos para bongs y vaporizadores,3,4,100,234,157,22,16,58,64
0,Vaporizadores electronicos,0,0,4,0,7,0,0,0,57
11,Vaporizadores herbales,0,0,31,36,45,9,6,21,69
