avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
43,Accesorios de extraccion,0,1,53,110,80,7,6,17,66
18,Bandejas y ceniceros,0,0,46,50,56,5,5,10,82
23,Bongs,7,0,161,67,231,31,18,83,70
26,Conos y blunts,0,0,77,68,86,13,13,33,90
20,Contenedores y estuches,0,0,85,35,116,12,8,33,73
16,Encendedores y sopletes,1,0,91,33,107,9,6,67,85
45,Filtros y boquillas,0,1,55,98,82,8,5,19,67
100,Limpieza,0,1,13,100,20,1,1,3,65
29,Moledores,0,3,120,134,246,25,19,59,49
25,Otros parafernalia,0,0,11,49,49,3,2,7,22
38,Papelillos,3,3,109,245,204,26,12,73,53
19,Pipas,0,0,129,37,275,10,8,28,47
43,Repuestos para bongs y vaporizadores,1,4,98,234,157,22,16,56,62
0,Vaporizadores electronicos,0,0,4,0,7,0,0,0,57
11,Vaporizadores herbales,0,0,31,36,45,9,6,21,69
