type,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
brand-repeated-in-slug,10411,Conos RAW Rawket 5 Stages,Conos y blunts,,raw,rawket-5-stages,rawket-5-stages,/productos/raw/rawket-5-stages,2,2,Fumetas | Piranha,5990,6990,17,Fumetas,Piranha,true,true,2026-06-13T01:39:23.081Z,Conos Pre-enrolados RAW 5 Stages | Conos PreEnrolados RAW 5 Stages Rawket
brand-repeated-in-slug,10402,Blunt Wrap Double Platinum Blueberry x2,Conos y blunts,,platinum,double-platinum-blueberry-x2,double-platinum-blueberry-x2,/productos/platinum/double-platinum-blueberry-x2,2,2,Astro Growshop | Piranha,890,990,11,Piranha,Astro Growshop,true,true,2026-06-13T01:47:35.462Z,Blunt Wrap Double!! Platinum (2u) | PIRANHA | Platinium X2 Blueberry 1U- Blunt Wrap
brand-repeated-in-slug,10270,Vaporizador Mini 2200 -Oxbar,Vaporizadores electronicos,OXBAR,oxbar,disposable-oxbar,disposable-oxbar-mini-2200,/productos/oxbar/disposable-oxbar-mini-2200,2,2,Astro Growshop | Fumetas,8990,9990,11,Fumetas,Astro Growshop,true,true,2026-06-13T01:13:46.264Z,Oxbar Mini Vaporizadores desechable 2200 Puffs | Vaporizador Mini 2200 -Oxbar
brand-repeated-in-slug,10271,VAPORIZADOR TRIFUSION 45K -OXBAR,Vaporizadores electronicos,OXBAR,oxbar,disposable-oxbar,disposable-oxbar-trifusion-45k,/productos/oxbar/disposable-oxbar-trifusion-45k,2,2,Astro Growshop | Fumetas,27590,29990,9,Fumetas,Astro Growshop,true,true,2026-06-13T01:12:04.430Z,Oxbar Vaporizador Desechable Tri Fusion 45K Puffs | VAPORIZADOR TRIFUSION 45K -OXBAR
high-spread,5722,Filtros de cartón OCB Premium de color blanco,Filtros y boquillas,OCB,ocb,filter-ocb-premium,paper-filter-premium,/productos/ocb/paper-filter-premium,5,3,Astro Growshop | GrowBarato Chile | Piranha,450,1800,300,GrowBarato Chile,GrowBarato Chile,true,true,2026-06-13T02:00:04.726Z,Filtros de cartón OCB Premium de color blanco | Filtro Premium OCB | Filtros Regular Ocb | Filtros OCB Premium Regular | Filtros anchos de 7.5 mm | OCB Filtro Premium Slim Bolsa - GB The Green Brand
high-spread,6020,Quemador De 14Mm -Bonglab,Repuestos para bongs y vaporizadores,Bonglab,bonglab,banger-quemador-14mm,bowl-14mm,/productos/bonglab/bowl-14mm,6,3,Astro Growshop | Fumetas | Piranha,2990,10890,264,Astro Growshop,Fumetas,true,true,2026-06-13T01:33:27.686Z,QUEMADOR BONG MACHO 14MM- Bonglab | Quemador Macho 14Mm -Bonglab | Quemador De 14Mm -Bonglab | Bonglab Quemador Macho 14mm Clear | Quemador Macho Bonglab 14mm | PIRANHA | Bonglab Quemador Macho 14mm Rainbow
high-spread,6776,Filter Hitter Cabo - GB The Green Brand,Pipas,Cabo,cabo,pipe-filter-hitter,hitter,/productos/cabo/hitter,3,2,Fumetas | GrowBarato Chile,5990,18990,217,Fumetas,Fumetas,true,true,2026-06-13T01:56:22.090Z,Cabo Heavy Hitter 12mm | Filter Hitter Cabo - GB The Green Brand | Cabo Pipa Filter Hitter 8cm
high-spread,10106,Calvo Glass Banger Full Weld Regular Macho 10mm,Accesorios de extraccion,Calvo Glass,calvo,banger-full-weld-regular-macho-10mm-regular,banger-simple-macho-90-10mm,/productos/calvo/banger-simple-macho-90-10mm,3,2,Astro Growshop | Fumetas,7990,24990,213,Fumetas,Astro Growshop,true,true,2026-06-13T00:40:54.091Z,Calvo Glass Banger Regular 10mm | Calvo Glass Banger Full Weld Regular Macho 10mm | BANGER REGULAR FULL WELD 10MM- Calvo glass
high-spread,5515,Moledor Metálico Lion Rolling Circus - 2 Partes,Moledores,Lion Rolling Circus,lion-rolling-circus,grinder-metal,metal-2-partes,/productos/lion-rolling-circus/metal-2-partes,3,3,Fumetas | GrowBarato Chile | Piranha,3900,11990,207,GrowBarato Chile,Fumetas,true,true,2026-06-13T01:54:56.779Z,Moledor Metálico Lion Rolling Circus - 2 Partes | Moledor Metálico Lion Rolling Circus 5cm 2 Partes | PIRANHA | Moledor Lion Rolling Circus Metalico 50mm
high-spread,10263,Volcano Hybrid Cámara con Reductor para Cápsulas| PIRANHA,Repuestos para bongs y vaporizadores,,storz-bickel,repuestos-volcano-hybrid,dosing-capsules-volcano-camara,/productos/storz-bickel/dosing-capsules-volcano-camara,3,3,Astro Growshop | Fumetas | Piranha,58491,151990,160,Piranha,Astro Growshop,true,true,2026-06-13T01:52:50.642Z,Volcano Hybrid Cámara con Reductor para Cápsulas| PIRANHA | Storz &amp; Bickel Cámara de relleno con adaptador de cápsulas monodosis | Cámara De Relleno Con Adaptador De Cápsula Monodosis-Storz &amp; Bickel
