metric,value
runId,2026-05-22T20-47-36-615Z
generatedAt,2026-05-22T20:47:36.984Z
regeneratedFiles,00-summary.csv | 01-home-visible.csv | 02-visible-products.csv | 03-categories.csv | 04-risks.csv | 05-opportunities.csv | 06-single-store-curated.csv | 07-two-store-curated.csv | 08-three-store-curated.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1774
curatedProducts,694
visibleProducts,181
singleStoreCuratedProducts,513
homeProducts,181
twoStoreProducts,101
threeStoreProducts,43
fourStoreProducts,37
missingImages,0
