avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
48,Accesorios de extraccion,1,2,57,110,82,7,3,21,70
48,Bandejas y ceniceros,1,1,48,169,56,5,4,12,86
147,Bongs,14,6,179,2211,231,31,7,101,77
26,Conos y blunts,0,0,78,69,86,13,12,34,91
26,Contenedores y estuches,4,0,94,74,118,12,3,42,80
37,Encendedores y sopletes,2,1,96,117,109,9,2,72,88
160,Filtros y boquillas,1,2,57,939,82,8,4,21,70
100,Limpieza,0,1,13,100,20,1,1,3,65
194,Moledores,3,6,128,3011,248,25,14,67,52
100,Otros parafernalia,0,1,12,234,49,3,1,8,24
359,Papelillos,14,12,132,4949,208,26,0,96,63
34,Pipas,0,1,131,153,275,10,6,30,48
45,Repuestos para bongs y vaporizadores,3,4,101,234,157,22,15,59,64
0,Vaporizadores electronicos,0,0,4,0,7,0,0,0,57
23,Vaporizadores herbales,0,1,32,104,45,9,5,22,71
