metric,value
runId,2026-05-15T21-27-36-912Z
generatedAt,2026-05-15T21:27:37.145Z
regeneratedFiles,00-summary.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1336
curatedProducts,166
visibleProducts,154
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,106
threeStoreProducts,33
fourStoreProducts,15
missingImages,0
