metric,value
runId,2026-05-18T04-18-49-587Z
generatedAt,2026-05-18T04:18:49.790Z
regeneratedFiles,00-summary.csv | 01-home-visible.csv | 02-visible-products.csv | 03-categories.csv | 04-risks.csv | 05-opportunities.csv | 06-single-store-curated.csv | 07-two-store-curated.csv | 08-three-store-curated.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1336
curatedProducts,159
visibleProducts,127
singleStoreCuratedProducts,32
homeProducts,127
twoStoreProducts,82
threeStoreProducts,36
fourStoreProducts,9
missingImages,0
