avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
30,Accesorios de extraccion,0,0,16,42,61,4,3,9,26
12,Bandejas y ceniceros,0,0,15,23,51,5,5,10,29
21,Bongs,7,0,81,69,169,30,17,81,48
23,Conos y blunts,0,0,22,61,75,10,10,22,29
19,Contenedores y estuches,0,0,24,54,85,10,7,24,28
19,Encendedores y sopletes,1,0,71,61,100,8,5,64,71
49,Filtros y boquillas,0,1,25,98,62,7,4,17,40
0,Limpieza,0,0,8,0,13,0,0,0,62
20,Moledores,0,0,28,39,213,10,5,28,13
25,Otros parafernalia,0,0,11,49,36,3,2,7,31
46,Papelillos,1,2,30,148,173,10,2,30,17
18,Pipas,0,0,28,37,146,10,8,28,19
28,Repuestos para bongs y vaporizadores,0,1,24,80,112,10,7,24,21
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
11,Vaporizadores herbales,0,0,23,36,36,10,7,23,64
