metric,value
runId,2026-05-14T19-10-25-848Z
generatedAt,2026-05-14T19:10:26.165Z
regeneratedFiles,00-summary.csv | 07-two-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1333
curatedProducts,166
visibleProducts,154
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,107
threeStoreProducts,40
fourStoreProducts,7
missingImages,0
