avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
30,Accesorios de extraccion,0,0,42,42,64,4,3,9,66
12,Bandejas y ceniceros,0,0,41,23,51,5,5,10,80
20,Bongs,7,0,161,69,177,31,18,83,91
23,Conos y blunts,0,0,68,61,76,12,12,26,89
19,Contenedores y estuches,0,0,58,54,87,11,8,26,67
21,Encendedores y sopletes,1,0,87,61,102,8,5,65,85
49,Filtros y boquillas,0,1,46,98,66,7,4,17,70
0,Limpieza,0,0,9,0,15,0,0,0,60
27,Moledores,0,3,118,134,242,25,20,58,49
25,Otros parafernalia,0,0,11,49,41,3,2,7,27
48,Papelillos,2,5,108,245,182,26,12,72,59
16,Pipas,0,0,129,37,216,10,8,28,60
21,Repuestos para bongs y vaporizadores,0,1,67,80,116,15,12,34,58
0,Vaporizadores electronicos,0,0,4,0,5,0,0,0,80
11,Vaporizadores herbales,0,0,33,36,38,10,7,23,87
