id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5716,Tips Original De Carton 1 Ud-Raw,Filtros y boquillas,RAW,raw,paper-tip-classic,paper-tip-classic,/productos/raw/paper-tip-classic,3,3,Astro Growshop | Fumetas | Piranha,340,400,18,Astro Growshop,Fumetas,true,true,2026-05-09T06:26:57.031Z,Tips Original De Carton 1 Ud-Raw | Filtro Tips RAW Original | PIRANHA | Boquillas RAW Classic
5459,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,paper-1-1-4-1-1-4,pink,/productos/blazy-susan/pink,3,3,Astro Growshop | Fumetas | Piranha,490,790,61,Astro Growshop,Piranha,true,true,2026-05-15T19:36:27.214Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Blazy Susan Papelillos Pink 1 1/4 | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA
5420,Papelillo Pink King Size Slim- Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,pink-king-size-slim,/productos/blazy-susan/pink-king-size-slim,3,3,Astro Growshop | Fumetas | Piranha,490,990,102,Astro Growshop,Piranha,true,true,2026-05-09T06:26:20.201Z,Papelillo Pink King Size Slim- Blazy Susan | Blazy Susan Papelillos King Size Pink | Papelillo King Size Slim Blazy Susan Pink | PIRANHA
5460,Blazy Susan Papelillos Purple 1 1/4,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,purple,/productos/blazy-susan/purple,3,3,Astro Growshop | Fumetas | Piranha,711,790,11,Fumetas,Astro Growshop,true,true,2026-05-15T19:36:28.123Z,Blazy Susan Papelillos Purple 1 1/4 | Papelillo Purple 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Purple | PIRANHA
5817,Papelillos OCB Ultimate 1 1/4,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,ultimate,/productos/ocb/ultimate,3,3,Astro Growshop | Fumetas | Piranha,750,1190,59,Fumetas,Piranha,true,true,2026-05-09T06:25:32.510Z,Papelillos OCB Ultimate 1 1/4 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼
5478,Papelillos Gizeh Pink 1 1/4 Extra Fine,Papelillos,Gizeh,gizeh,paper-1-1-4-1-1-4,pink,/productos/gizeh/pink,3,3,Fumetas | GrowBarato Chile | Piranha,790,990,25,Fumetas,Piranha,true,true,2026-05-16T21:40:11.663Z,Papelillos Gizeh Pink 1 1/4 Extra Fine | Papelillos para liar Gizeh Pink 1 1/4 - GB The Green Brand | Papelillo Gizeh Pink 1 1/4
5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,paper-classic-king-size-slim-king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,3,3,Fumetas | GrowBarato Chile | Piranha,990,1290,30,Fumetas,Piranha,true,true,2026-05-16T21:40:33.227Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA"
5465,Papelillos RAW Black Organic Hemp 1 1/4,Papelillos,RAW,raw,paper-black-organic-hemp-1-1-4,black-organic-hemp,/productos/raw/black-organic-hemp,3,3,Astro Growshop | Fumetas | Piranha,990,1190,20,Piranha,Astro Growshop,true,true,2026-05-15T19:36:26.317Z,Papelillo RAW Black Organic Hemp 1 1/4 | PIRANHA | Papelillos RAW Black Organic Hemp 1 1/4 | Papelillos Black Organic Hemp 1 1/4 1 Ud-Raw
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,RAW,raw,paper-1-1-4-1-1-4,black,/productos/raw/black,3,3,Astro Growshop | Fumetas | Piranha,990,1190,20,Piranha,Fumetas,true,true,2026-05-09T06:57:33.191Z,Papelillo RAW Classic Black 1 1/4 | PIRANHA | Papelillos Black 1 1/4 1 Ud-Raw | Papelillos RAW Black 1 1/4
5724,Encendedor Jet Flame Jet Hippie World Clipper,Encendedores y sopletes,CLIPPER,clipper,torch-lighter-jet-flame,torch-lighter-jet-flame,/productos/clipper/torch-lighter-jet-flame,23,3,Astro Growshop | Fumetas | GrowBarato Chile,990,1592,61,Astro Growshop,Fumetas,true,true,2026-05-09T06:52:02.001Z,Encendedor Jet Flame Jet Good Vibes Only Clipper | Encendedor Jet Flame Jet Hippie World Clipper | Encendedor Jet Flame Con Tapa Modelos variados- Clipper | Encendedor Clipper Jet Flame Crystal Fluo – Unidad | Llama Jet | Encendedor Clipper Jet Flame Ink 4 Life | Encendedor Clipper Jet Flame Gradient 3 | Encendedor Clipper Jet Flame Psychodelic 2 | Encendedor Clipper Jet Flame Good Vibes Only | Encendedor Clipper Jet Flame Galactic Weed | Encendedor Clipper Jet Flame Head Bones | Encendedor Clipper Jet Flame Print Weed | Encendedor Clipper Jet Flame Rainbow Mush | Encendedor Clipper Jet Flame Rotten Burgers | Encendedor Clipper Jet Flame Shiny Assorted | Encendedor Clipper Jet Flame Skull Drinks | Encendedor Clipper Jet Flame Topo Expressions | Encendedor Clipper Jet Flame CozySkulls | Encendedor Clipper Jet Flame HippieWorld | Encendedor Clipper Jet Flame Mandaleaves | Encendedor Clipper Jet Flame Ravetrip | Encendedor Jet Flame Jet Galactic Weed Clipper | Encendedor Jet Flame Jet Horror Zoo Clipper | Encendedor Clipper Jet Flame Horror Zoo
5725,Encendedor Clipper Racoons,Encendedores y sopletes,Clipper,clipper,lighter-classic,lighter-classic,/productos/clipper/lighter-classic,19,3,Fumetas | GrowBarato Chile | Piranha,990,1190,20,Fumetas,Piranha,true,true,2026-05-09T06:35:54.829Z,Encendedor Clipper Crystal 12 | Encendedor Clipper Winter Plans 2 | Encendedor Clipper Racoons | Encendedor Clipper Space Area 4 | Encendedor Clipper Zombie Force | Encendedor Clipper Space Area 3 | Encendedor Clipper Space Area 1 | Encendedor Clipper Space Area 2 | Encendedor Clipper Dino Sports | Encendedor Clipper Winter Plans 1 | Encendedor Clipper Horror Days 1 | Encendedor Clipper Taroting 2 | Encendedor Clipper Monsters 1 | Encendedor Clipper Cocodrilos - Finger Up Animals 3 | Encendedor Clipper Sun is Shinning 2 | Encendedor Clipper Wall Of Fame 2 | Encendedor Clipper GB The Green Brand - GB The Green Brand | Encendedor Clipper varios modelos disponibles | Encendedor Clipper x Piranha
5709,Tea Leaf Wraps Blazy Susan | PIRANHA,Conos y blunts,BLAZY SUSAN,blazy-susan,wrap-tea-leaf-2u,wrap-tea-leaf-2u,/productos/blazy-susan/wrap-tea-leaf-2u,3,3,Astro Growshop | Fumetas | Piranha,1490,1990,34,Astro Growshop,Fumetas,true,true,2026-05-09T05:58:00.391Z,Blazy Susan 2X Tea Wraps Unidad | Tea Leaf Wraps Blazy Susan | PIRANHA | Blazy Susan Blunt Natural Wraps x2 - Tea Leaf
5818,Cajita Met�lica RAW para Pre-Enrolados 1 1/4,Contenedores y estuches,RAW,raw,contenedores-1-1-4-1-1-4,cajita-metalica-1-1-4,/productos/raw/cajita-metalica-1-1-4,3,3,Astro Growshop | Fumetas | Piranha,2490,2990,20,Piranha,Astro Growshop,true,true,2026-05-15T19:36:21.346Z,Cajita Metálica RAW para Pre-Enrolados (1 1/4/King Size) | PIRANHA | CAJITA METALICA PARA PREENROLADOS 1 1/4-RAW | Raw Cajita Metálica para Pre-Enrolados 1 1/4
5760,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB,Contenedores y estuches,BONGLAB,bonglab,extract-container-extracts-4ml,extract-container-extracts-4ml,/productos/bonglab/extract-container-extracts-4ml,3,3,Astro Growshop | Fumetas | Piranha,2990,3590,20,Astro Growshop,Fumetas,true,true,2026-05-09T05:52:21.069Z,CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB | Contenedor Extracciónes 4mL (Tapa Blanca/Tapa Negra) - BongLab | PIRANHA | Bonglab Contenedor De Extractos 4ml
5751,Calvo Glass Quemador Pyrex - Macho 14mm,Repuestos para bongs y vaporizadores,Calvo Glass,calvo,bowl-14mm,bowl-14mm,/productos/calvo/bowl-14mm,3,3,Fumetas | GrowBarato Chile | Piranha,3490,5990,72,Fumetas,Piranha,true,true,2026-05-09T06:52:19.732Z,Calvo Glass Quemador Pyrex - Macho 14mm | Quemador Calvo Glass 14mm Cuerno | Bowl vidrio bong verde amarillo morado | Quemador Macho 14mm
5797,Enroladora Acrílica 1 1/4 1U-Ocb,Otros parafernalia,OCB,ocb,rolling-machine-acrilica-1-1-4,rolling-machine-acrilica-1-1-4,/productos/ocb/rolling-machine-acrilica-1-1-4,3,3,Astro Growshop | Fumetas | Piranha,3490,5190,49,Astro Growshop,Fumetas,true,true,2026-05-09T06:25:28.943Z,Enroladora Acrílica 1 1/4 1U-Ocb | Máquina Enroladora Acrílica OCB 1 1/4 | Enroladora Acrilica OCB 1 1/4
