metric,value
runId,2026-05-15T19-44-36-278Z
generatedAt,2026-05-15T19:44:36.503Z
regeneratedFiles,00-summary.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1335
curatedProducts,166
visibleProducts,154
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,107
threeStoreProducts,36
fourStoreProducts,11
missingImages,0
