metric,value
runId,2026-05-15T19-25-51-275Z
generatedAt,2026-05-15T19:25:51.632Z
regeneratedFiles,00-summary.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,1333
curatedProducts,166
visibleProducts,154
singleStoreCuratedProducts,12
homeProducts,40
twoStoreProducts,105
threeStoreProducts,37
fourStoreProducts,12
missingImages,0
